,Rating,Name
0,5,Ben Ezra Temple
1,5,Ben Ezra Temple
2,5,Ben Ezra Temple
3,5,Ben Ezra Temple
4,5,Ben Ezra Temple
5,5,Ben Ezra Temple
6,5,Ben Ezra Temple
7,1,Ben Ezra Temple
8,5,Ben Ezra Temple
9,5,Ben Ezra Temple
10,5,Ben Ezra Temple
11,4,Ben Ezra Temple
12,5,Ben Ezra Temple
13,4,Ben Ezra Temple
14,5,Ben Ezra Temple
15,5,Ben Ezra Temple
16,5,Ben Ezra Temple
17,5,Ben Ezra Temple
18,5,Ben Ezra Temple
19,4,Ben Ezra Temple
20,5,Ben Ezra Temple
21,5,Ben Ezra Temple
22,5,Ben Ezra Temple
23,5,Ben Ezra Temple
24,3,Ben Ezra Temple
25,5,Ben Ezra Temple
26,5,Ben Ezra Temple
27,5,Ben Ezra Temple
28,5,Ben Ezra Temple
29,3,Ben Ezra Temple
30,4,Ben Ezra Temple
31,5,Ben Ezra Temple
32,5,Ben Ezra Temple
33,5,Ben Ezra Temple
34,4,Ben Ezra Temple
35,5,Ben Ezra Temple
36,4,Ben Ezra Temple
37,5,Ben Ezra Temple
38,5,Ben Ezra Temple
39,4,Ben Ezra Temple
40,5,Ben Ezra Temple
41,5,Ben Ezra Temple
42,5,Ben Ezra Temple
43,5,Ben Ezra Temple
44,4,Ben Ezra Temple
45,3,Ben Ezra Temple
46,5,Ben Ezra Temple
47,5,Ben Ezra Temple
48,5,Ben Ezra Temple
49,5,Ben Ezra Temple
50,5,Ben Ezra Temple
51,5,Ben Ezra Temple
52,3,Ben Ezra Temple
53,5,Ben Ezra Temple
54,4,Ben Ezra Temple
55,5,Ben Ezra Temple
56,5,Ben Ezra Temple
57,3,Ben Ezra Temple
58,5,Ben Ezra Temple
59,4,Ben Ezra Temple
60,5,Ben Ezra Temple
61,4,Ben Ezra Temple
62,5,Ben Ezra Temple
63,4,Ben Ezra Temple
64,4,Ben Ezra Temple
65,5,Ben Ezra Temple
66,4,Ben Ezra Temple
67,3,Ben Ezra Temple
68,5,Ben Ezra Temple
69,4,Ben Ezra Temple
70,4,Ben Ezra Temple
71,5,Ben Ezra Temple
72,5,Ben Ezra Temple
73,3,Ben Ezra Temple
74,5,Ben Ezra Temple
75,5,Ben Ezra Temple
76,5,Ben Ezra Temple
77,5,Ben Ezra Temple
78,5,Ben Ezra Temple
79,4,Ben Ezra Temple
80,5,Ben Ezra Temple
81,5,Ben Ezra Temple
82,5,Ben Ezra Temple
83,5,Ben Ezra Temple
84,5,Ben Ezra Temple
85,4,Ben Ezra Temple
86,1,Ben Ezra Temple
87,5,Ben Ezra Temple
88,5,Ben Ezra Temple
89,5,Ben Ezra Temple
90,5,Ben Ezra Temple
91,4,Ben Ezra Temple
92,5,Ben Ezra Temple
93,5,Ben Ezra Temple
94,2,Ben Ezra Temple
95,5,Ben Ezra Temple
96,5,Ben Ezra Temple
97,5,Ben Ezra Temple
98,4,Ben Ezra Temple
99,4,Ben Ezra Temple
100,5,Ben Ezra Temple
101,5,Ben Ezra Temple
102,5,Ben Ezra Temple
103,5,Ben Ezra Temple
104,5,Ben Ezra Temple
105,4,Ben Ezra Temple
106,5,Ben Ezra Temple
107,5,Ben Ezra Temple
108,5,Ben Ezra Temple
109,5,Ben Ezra Temple
110,5,Ben Ezra Temple
111,2,Ben Ezra Temple
112,5,Ben Ezra Temple
113,1,Ben Ezra Temple
114,3,Ben Ezra Temple
115,5,Ben Ezra Temple
116,5,Ben Ezra Temple
117,5,Ben Ezra Temple
118,5,Ben Ezra Temple
119,3,Ben Ezra Temple
120,4,Ben Ezra Temple
121,3,Ben Ezra Temple
122,4,Ben Ezra Temple
123,4,Ben Ezra Temple
124,5,Ben Ezra Temple
125,4,Ben Ezra Temple
126,1,Ben Ezra Temple
127,3,Ben Ezra Temple
128,5,Ben Ezra Temple
129,5,Ben Ezra Temple
130,5,Ben Ezra Temple
131,4,Ben Ezra Temple
132,5,Ben Ezra Temple
133,1,Ben Ezra Temple
134,5,Ben Ezra Temple
135,5,Ben Ezra Temple
136,5,Ben Ezra Temple
137,3,Ben Ezra Temple
138,5,Ben Ezra Temple
139,5,Ben Ezra Temple
140,5,Ben Ezra Temple
141,5,Ben Ezra Temple
142,5,Ben Ezra Temple
143,5,Ben Ezra Temple
144,4,Ben Ezra Temple
145,4,Ben Ezra Temple
146,4,Ben Ezra Temple
147,1,Ben Ezra Temple
148,5,Ben Ezra Temple
149,3,Ben Ezra Temple
150,5,Ben Ezra Temple
151,2,Ben Ezra Temple
152,5,Ben Ezra Temple
153,5,Ben Ezra Temple
154,5,Ben Ezra Temple
155,5,Ben Ezra Temple
156,4,Ben Ezra Temple
157,4,Ben Ezra Temple
158,5,Ben Ezra Temple
159,4,Ben Ezra Temple
160,5,Ben Ezra Temple
161,1,Ben Ezra Temple
162,3,Ben Ezra Temple
163,5,Ben Ezra Temple
164,5,Ben Ezra Temple
165,1,Ben Ezra Temple
166,5,Ben Ezra Temple
167,5,Ben Ezra Temple
168,3,Ben Ezra Temple
169,5,Ben Ezra Temple
170,4,Ben Ezra Temple
171,3,Ben Ezra Temple
172,4,Ben Ezra Temple
173,5,Ben Ezra Temple
174,5,Ben Ezra Temple
175,1,Ben Ezra Temple
176,5,Ben Ezra Temple
177,5,Ben Ezra Temple
178,5,Ben Ezra Temple
179,5,Ben Ezra Temple
180,5,Ben Ezra Temple
181,4,Ben Ezra Temple
182,5,Ben Ezra Temple
183,1,Ben Ezra Temple
