,Rating,Name
0,5,Bibliotheca Alexandrina
1,4,Bibliotheca Alexandrina
2,5,Bibliotheca Alexandrina
3,5,Bibliotheca Alexandrina
4,5,Bibliotheca Alexandrina
5,5,Bibliotheca Alexandrina
6,3,Bibliotheca Alexandrina
7,3,Bibliotheca Alexandrina
8,4,Bibliotheca Alexandrina
9,5,Bibliotheca Alexandrina
10,5,Bibliotheca Alexandrina
11,5,Bibliotheca Alexandrina
12,4,Bibliotheca Alexandrina
13,5,Bibliotheca Alexandrina
14,5,Bibliotheca Alexandrina
15,3,Bibliotheca Alexandrina
16,5,Bibliotheca Alexandrina
17,1,Bibliotheca Alexandrina
18,3,Bibliotheca Alexandrina
19,5,Bibliotheca Alexandrina
20,5,Bibliotheca Alexandrina
21,5,Bibliotheca Alexandrina
22,5,Bibliotheca Alexandrina
23,5,Bibliotheca Alexandrina
24,5,Bibliotheca Alexandrina
25,5,Bibliotheca Alexandrina
26,2,Bibliotheca Alexandrina
27,5,Bibliotheca Alexandrina
28,5,Bibliotheca Alexandrina
29,5,Bibliotheca Alexandrina
30,5,Bibliotheca Alexandrina
31,5,Bibliotheca Alexandrina
32,5,Bibliotheca Alexandrina
33,5,Bibliotheca Alexandrina
34,5,Bibliotheca Alexandrina
35,5,Bibliotheca Alexandrina
36,5,Bibliotheca Alexandrina
37,1,Bibliotheca Alexandrina
38,5,Bibliotheca Alexandrina
39,5,Bibliotheca Alexandrina
40,5,Bibliotheca Alexandrina
41,5,Bibliotheca Alexandrina
42,5,Bibliotheca Alexandrina
43,4,Bibliotheca Alexandrina
44,5,Bibliotheca Alexandrina
45,4,Bibliotheca Alexandrina
46,5,Bibliotheca Alexandrina
47,5,Bibliotheca Alexandrina
48,5,Bibliotheca Alexandrina
49,5,Bibliotheca Alexandrina
50,5,Bibliotheca Alexandrina
51,5,Bibliotheca Alexandrina
52,5,Bibliotheca Alexandrina
53,5,Bibliotheca Alexandrina
54,5,Bibliotheca Alexandrina
55,5,Bibliotheca Alexandrina
56,5,Bibliotheca Alexandrina
57,3,Bibliotheca Alexandrina
58,5,Bibliotheca Alexandrina
59,5,Bibliotheca Alexandrina
60,5,Bibliotheca Alexandrina
61,5,Bibliotheca Alexandrina
62,5,Bibliotheca Alexandrina
63,5,Bibliotheca Alexandrina
64,5,Bibliotheca Alexandrina
