,Rating,Name
0,4,Coptic museum
1,5,Coptic museum
2,5,Coptic museum
3,5,Coptic museum
4,5,Coptic museum
5,5,Coptic museum
6,5,Coptic museum
7,4,Coptic museum
8,5,Coptic museum
9,5,Coptic museum
10,5,Coptic museum
11,5,Coptic museum
12,5,Coptic museum
13,4,Coptic museum
14,1,Coptic museum
15,4,Coptic museum
16,5,Coptic museum
17,5,Coptic museum
18,4,Coptic museum
19,5,Coptic museum
20,5,Coptic museum
21,4,Coptic museum
22,5,Coptic museum
23,4,Coptic museum
24,5,Coptic museum
25,5,Coptic museum
26,5,Coptic museum
27,5,Coptic museum
28,5,Coptic museum
29,5,Coptic museum
30,1,Coptic museum
31,5,Coptic museum
32,5,Coptic museum
33,4,Coptic museum
34,4,Coptic museum
35,5,Coptic museum
36,5,Coptic museum
37,5,Coptic museum
38,5,Coptic museum
39,5,Coptic museum
40,5,Coptic museum
41,5,Coptic museum
42,5,Coptic museum
43,5,Coptic museum
44,5,Coptic museum
45,4,Coptic museum
46,5,Coptic museum
47,5,Coptic museum
48,5,Coptic museum
49,5,Coptic museum
50,5,Coptic museum
51,5,Coptic museum
52,5,Coptic museum
53,5,Coptic museum
54,5,Coptic museum
55,4,Coptic museum
56,5,Coptic museum
57,5,Coptic museum
58,4,Coptic museum
59,5,Coptic museum
60,5,Coptic museum
61,5,Coptic museum
62,5,Coptic museum
63,5,Coptic museum
64,3,Coptic museum
65,5,Coptic museum
66,4,Coptic museum
67,3,Coptic museum
68,5,Coptic museum
69,5,Coptic museum
70,3,Coptic museum
71,5,Coptic museum
72,5,Coptic museum
73,5,Coptic museum
74,5,Coptic museum
75,5,Coptic museum
76,5,Coptic museum
77,3,Coptic museum
78,5,Coptic museum
79,5,Coptic museum
80,1,Coptic museum
81,5,Coptic museum
82,5,Coptic museum
83,4,Coptic museum
84,5,Coptic museum
85,5,Coptic museum
86,5,Coptic museum
87,4,Coptic museum
88,5,Coptic museum
89,2,Coptic museum
90,5,Coptic museum
91,5,Coptic museum
92,5,Coptic museum
93,5,Coptic museum
94,5,Coptic museum
95,1,Coptic museum
96,4,Coptic museum
97,5,Coptic museum
98,5,Coptic museum
99,4,Coptic museum
100,5,Coptic museum
101,5,Coptic museum
102,5,Coptic museum
103,5,Coptic museum
104,4,Coptic museum
105,5,Coptic museum
106,4,Coptic museum
107,5,Coptic museum
108,5,Coptic museum
109,5,Coptic museum
110,5,Coptic museum
111,5,Coptic museum
112,5,Coptic museum
113,5,Coptic museum
114,5,Coptic museum
115,5,Coptic museum
116,5,Coptic museum
117,5,Coptic museum
118,5,Coptic museum
119,4,Coptic museum
120,1,Coptic museum
121,5,Coptic museum
122,5,Coptic museum
123,4,Coptic museum
124,5,Coptic museum
125,5,Coptic museum
126,5,Coptic museum
127,5,Coptic museum
128,5,Coptic museum
129,3,Coptic museum
130,5,Coptic museum
131,3,Coptic museum
132,5,Coptic museum
133,5,Coptic museum
134,5,Coptic museum
135,1,Coptic museum
136,4,Coptic museum
137,5,Coptic museum
138,4,Coptic museum
139,5,Coptic museum
140,3,Coptic museum
141,3,Coptic museum
142,4,Coptic museum
143,5,Coptic museum
144,5,Coptic museum
145,2,Coptic museum
146,4,Coptic museum
147,5,Coptic museum
148,5,Coptic museum
149,5,Coptic museum
150,5,Coptic museum
151,5,Coptic museum
152,5,Coptic museum
153,5,Coptic museum
154,5,Coptic museum
155,5,Coptic museum
156,5,Coptic museum
157,5,Coptic museum
158,5,Coptic museum
159,5,Coptic museum
160,5,Coptic museum
161,5,Coptic museum
162,3,Coptic museum
163,5,Coptic museum
164,5,Coptic museum
165,3,Coptic museum
166,5,Coptic museum
167,4,Coptic museum
168,4,Coptic museum
169,4,Coptic museum
170,5,Coptic museum
171,5,Coptic museum
172,5,Coptic museum
173,5,Coptic museum
174,5,Coptic museum
175,5,Coptic museum
176,4,Coptic museum
177,3,Coptic museum
178,5,Coptic museum
179,5,Coptic museum
180,5,Coptic museum
181,4,Coptic museum
182,5,Coptic museum
183,5,Coptic museum
184,4,Coptic museum
185,5,Coptic museum
186,5,Coptic museum
187,5,Coptic museum
188,5,Coptic museum
189,4,Coptic museum
190,5,Coptic museum
191,5,Coptic museum
192,5,Coptic museum
193,5,Coptic museum
194,5,Coptic museum
195,3,Coptic museum
196,5,Coptic museum
197,5,Coptic museum
198,5,Coptic museum
199,4,Coptic museum
