,Rating,Name
0,5,Karnak temple
1,5,Karnak temple
2,4,Karnak temple
3,5,Karnak temple
4,5,Karnak temple
5,5,Karnak temple
6,5,Karnak temple
7,5,Karnak temple
8,5,Karnak temple
9,5,Karnak temple
10,5,Karnak temple
11,5,Karnak temple
12,3,Karnak temple
13,3,Karnak temple
14,5,Karnak temple
15,5,Karnak temple
16,5,Karnak temple
17,4,Karnak temple
18,5,Karnak temple
19,5,Karnak temple
20,5,Karnak temple
21,4,Karnak temple
22,5,Karnak temple
23,5,Karnak temple
24,5,Karnak temple
25,5,Karnak temple
26,5,Karnak temple
27,5,Karnak temple
28,1,Karnak temple
29,5,Karnak temple
30,5,Karnak temple
31,5,Karnak temple
32,5,Karnak temple
33,5,Karnak temple
34,5,Karnak temple
35,5,Karnak temple
36,5,Karnak temple
37,5,Karnak temple
38,5,Karnak temple
39,5,Karnak temple
40,5,Karnak temple
41,5,Karnak temple
42,5,Karnak temple
43,1,Karnak temple
44,5,Karnak temple
45,5,Karnak temple
46,5,Karnak temple
47,5,Karnak temple
48,5,Karnak temple
49,5,Karnak temple
50,5,Karnak temple
51,5,Karnak temple
52,5,Karnak temple
53,3,Karnak temple
54,5,Karnak temple
55,5,Karnak temple
56,5,Karnak temple
57,5,Karnak temple
58,5,Karnak temple
59,5,Karnak temple
60,5,Karnak temple
61,5,Karnak temple
62,5,Karnak temple
63,5,Karnak temple
64,5,Karnak temple
65,5,Karnak temple
66,5,Karnak temple
67,5,Karnak temple
68,5,Karnak temple
69,5,Karnak temple
70,5,Karnak temple
71,5,Karnak temple
72,5,Karnak temple
73,5,Karnak temple
74,5,Karnak temple
75,5,Karnak temple
76,5,Karnak temple
77,5,Karnak temple
78,4,Karnak temple
79,5,Karnak temple
80,5,Karnak temple
81,5,Karnak temple
82,4,Karnak temple
83,5,Karnak temple
84,5,Karnak temple
85,5,Karnak temple
86,5,Karnak temple
87,5,Karnak temple
88,5,Karnak temple
89,5,Karnak temple
90,5,Karnak temple
91,5,Karnak temple
92,5,Karnak temple
93,5,Karnak temple
94,5,Karnak temple
95,5,Karnak temple
96,1,Karnak temple
97,5,Karnak temple
98,5,Karnak temple
99,5,Karnak temple
100,5,Karnak temple
101,4,Karnak temple
102,5,Karnak temple
103,5,Karnak temple
104,2,Karnak temple
105,5,Karnak temple
106,5,Karnak temple
107,5,Karnak temple
108,5,Karnak temple
109,5,Karnak temple
110,5,Karnak temple
111,5,Karnak temple
112,5,Karnak temple
113,5,Karnak temple
114,5,Karnak temple
115,5,Karnak temple
116,5,Karnak temple
117,5,Karnak temple
118,5,Karnak temple
119,5,Karnak temple
120,5,Karnak temple
121,5,Karnak temple
122,5,Karnak temple
123,5,Karnak temple
124,5,Karnak temple
125,5,Karnak temple
126,4,Karnak temple
127,5,Karnak temple
128,5,Karnak temple
129,5,Karnak temple
130,5,Karnak temple
131,5,Karnak temple
132,5,Karnak temple
133,5,Karnak temple
134,5,Karnak temple
135,5,Karnak temple
136,5,Karnak temple
137,5,Karnak temple
138,5,Karnak temple
139,4,Karnak temple
140,5,Karnak temple
141,5,Karnak temple
142,5,Karnak temple
143,5,Karnak temple
144,5,Karnak temple
145,5,Karnak temple
146,5,Karnak temple
147,5,Karnak temple
148,5,Karnak temple
149,5,Karnak temple
150,5,Karnak temple
151,4,Karnak temple
152,5,Karnak temple
153,5,Karnak temple
154,5,Karnak temple
155,5,Karnak temple
156,5,Karnak temple
157,5,Karnak temple
158,5,Karnak temple
159,5,Karnak temple
160,5,Karnak temple
161,5,Karnak temple
162,5,Karnak temple
163,5,Karnak temple
164,5,Karnak temple
165,5,Karnak temple
166,5,Karnak temple
167,5,Karnak temple
168,5,Karnak temple
169,5,Karnak temple
170,5,Karnak temple
171,5,Karnak temple
172,5,Karnak temple
173,5,Karnak temple
174,4,Karnak temple
175,5,Karnak temple
176,5,Karnak temple
177,5,Karnak temple
178,5,Karnak temple
179,5,Karnak temple
180,5,Karnak temple
181,5,Karnak temple
182,5,Karnak temple
183,4,Karnak temple
184,5,Karnak temple
185,5,Karnak temple
186,5,Karnak temple
187,5,Karnak temple
188,5,Karnak temple
189,5,Karnak temple
190,5,Karnak temple
191,5,Karnak temple
192,5,Karnak temple
193,1,Karnak temple
194,5,Karnak temple
195,5,Karnak temple
196,5,Karnak temple
197,5,Karnak temple
198,5,Karnak temple
199,5,Karnak temple
