,Rating,Name
0,4,National Museum of Alexandria
1,4,National Museum of Alexandria
2,4,National Museum of Alexandria
3,5,National Museum of Alexandria
4,5,National Museum of Alexandria
5,5,National Museum of Alexandria
6,5,National Museum of Alexandria
7,5,National Museum of Alexandria
8,3,National Museum of Alexandria
9,5,National Museum of Alexandria
10,3,National Museum of Alexandria
11,5,National Museum of Alexandria
12,5,National Museum of Alexandria
13,5,National Museum of Alexandria
14,5,National Museum of Alexandria
15,4,National Museum of Alexandria
16,4,National Museum of Alexandria
17,5,National Museum of Alexandria
18,5,National Museum of Alexandria
19,5,National Museum of Alexandria
20,5,National Museum of Alexandria
21,5,National Museum of Alexandria
22,5,National Museum of Alexandria
23,5,National Museum of Alexandria
24,5,National Museum of Alexandria
25,5,National Museum of Alexandria
26,5,National Museum of Alexandria
27,5,National Museum of Alexandria
28,3,National Museum of Alexandria
29,5,National Museum of Alexandria
30,5,National Museum of Alexandria
31,5,National Museum of Alexandria
32,5,National Museum of Alexandria
33,5,National Museum of Alexandria
34,5,National Museum of Alexandria
35,5,National Museum of Alexandria
36,4,National Museum of Alexandria
37,5,National Museum of Alexandria
38,5,National Museum of Alexandria
39,5,National Museum of Alexandria
40,3,National Museum of Alexandria
41,4,National Museum of Alexandria
42,5,National Museum of Alexandria
43,1,National Museum of Alexandria
44,3,National Museum of Alexandria
45,5,National Museum of Alexandria
46,5,National Museum of Alexandria
47,5,National Museum of Alexandria
48,5,National Museum of Alexandria
49,3,National Museum of Alexandria
50,5,National Museum of Alexandria
51,5,National Museum of Alexandria
52,5,National Museum of Alexandria
53,1,National Museum of Alexandria
54,5,National Museum of Alexandria
55,5,National Museum of Alexandria
56,5,National Museum of Alexandria
57,5,National Museum of Alexandria
58,5,National Museum of Alexandria
59,4,National Museum of Alexandria
60,4,National Museum of Alexandria
61,4,National Museum of Alexandria
62,1,National Museum of Alexandria
63,5,National Museum of Alexandria
64,5,National Museum of Alexandria
65,5,National Museum of Alexandria
66,5,National Museum of Alexandria
67,5,National Museum of Alexandria
68,5,National Museum of Alexandria
69,5,National Museum of Alexandria
70,5,National Museum of Alexandria
71,4,National Museum of Alexandria
72,5,National Museum of Alexandria
73,5,National Museum of Alexandria
74,4,National Museum of Alexandria
75,5,National Museum of Alexandria
76,5,National Museum of Alexandria
77,3,National Museum of Alexandria
78,5,National Museum of Alexandria
79,4,National Museum of Alexandria
80,4,National Museum of Alexandria
81,5,National Museum of Alexandria
82,5,National Museum of Alexandria
83,4,National Museum of Alexandria
84,4,National Museum of Alexandria
85,5,National Museum of Alexandria
86,3,National Museum of Alexandria
87,4,National Museum of Alexandria
88,5,National Museum of Alexandria
89,5,National Museum of Alexandria
90,4,National Museum of Alexandria
