,Rating,Name
0,5,deir el medina
1,5,deir el medina
2,4,deir el medina
3,5,deir el medina
4,5,deir el medina
5,5,deir el medina
6,5,deir el medina
7,4,deir el medina
8,5,deir el medina
9,5,deir el medina
10,5,deir el medina
11,4,deir el medina
12,3,deir el medina
13,5,deir el medina
14,5,deir el medina
15,5,deir el medina
16,5,deir el medina
17,5,deir el medina
18,5,deir el medina
19,4,deir el medina
20,2,deir el medina
21,5,deir el medina
22,4,deir el medina
23,1,deir el medina
24,5,deir el medina
25,4,deir el medina
26,4,deir el medina
27,5,deir el medina
28,5,deir el medina
29,5,deir el medina
30,4,deir el medina
31,5,deir el medina
32,5,deir el medina
33,5,deir el medina
34,2,deir el medina
35,5,deir el medina
36,5,deir el medina
37,5,deir el medina
38,5,deir el medina
39,5,deir el medina
40,5,deir el medina
41,3,deir el medina
42,5,deir el medina
43,5,deir el medina
44,5,deir el medina
45,5,deir el medina
46,3,deir el medina
47,5,deir el medina
48,5,deir el medina
49,5,deir el medina
50,5,deir el medina
51,5,deir el medina
52,4,deir el medina
53,5,deir el medina
54,4,deir el medina
55,4,deir el medina
56,5,deir el medina
57,5,deir el medina
58,5,deir el medina
59,5,deir el medina
60,5,deir el medina
61,5,deir el medina
62,5,deir el medina
63,5,deir el medina
64,5,deir el medina
65,4,deir el medina
66,4,deir el medina
67,5,deir el medina
68,4,deir el medina
69,5,deir el medina
70,5,deir el medina
71,5,deir el medina
72,5,deir el medina
73,4,deir el medina
74,4,deir el medina
75,5,deir el medina
76,5,deir el medina
77,5,deir el medina
78,5,deir el medina
79,5,deir el medina
80,5,deir el medina
81,3,deir el medina
82,5,deir el medina
83,3,deir el medina
84,5,deir el medina
85,5,deir el medina
86,5,deir el medina
87,5,deir el medina
88,1,deir el medina
89,5,deir el medina
90,5,deir el medina
91,5,deir el medina
92,5,deir el medina
93,5,deir el medina
94,5,deir el medina
95,5,deir el medina
96,5,deir el medina
97,5,deir el medina
98,4,deir el medina
99,5,deir el medina
100,5,deir el medina
101,5,deir el medina
102,5,deir el medina
103,5,deir el medina
104,5,deir el medina
105,5,deir el medina
106,3,deir el medina
107,5,deir el medina
108,4,deir el medina
109,5,deir el medina
110,5,deir el medina
111,5,deir el medina
112,4,deir el medina
113,5,deir el medina
114,5,deir el medina
115,5,deir el medina
116,5,deir el medina
117,5,deir el medina
118,5,deir el medina
119,5,deir el medina
120,5,deir el medina
121,5,deir el medina
122,4,deir el medina
123,5,deir el medina
124,5,deir el medina
125,3,deir el medina
126,4,deir el medina
127,5,deir el medina
128,3,deir el medina
129,5,deir el medina
130,4,deir el medina
131,4,deir el medina
132,4,deir el medina
133,5,deir el medina
134,5,deir el medina
135,4,deir el medina
136,5,deir el medina
137,5,deir el medina
138,5,deir el medina
139,5,deir el medina
140,5,deir el medina
141,3,deir el medina
142,5,deir el medina
143,5,deir el medina
144,5,deir el medina
145,5,deir el medina
146,5,deir el medina
147,1,deir el medina
148,4,deir el medina
149,5,deir el medina
150,4,deir el medina
151,5,deir el medina
152,5,deir el medina
153,5,deir el medina
154,5,deir el medina
155,4,deir el medina
156,5,deir el medina
157,5,deir el medina
158,5,deir el medina
159,4,deir el medina
160,5,deir el medina
161,5,deir el medina
162,5,deir el medina
163,5,deir el medina
164,5,deir el medina
165,5,deir el medina
166,5,deir el medina
167,5,deir el medina
168,5,deir el medina
169,5,deir el medina
170,5,deir el medina
171,4,deir el medina
172,5,deir el medina
173,5,deir el medina
174,5,deir el medina
175,5,deir el medina
176,5,deir el medina
177,4,deir el medina
178,5,deir el medina
179,4,deir el medina
180,3,deir el medina
181,5,deir el medina
182,5,deir el medina
183,5,deir el medina
184,4,deir el medina
185,5,deir el medina
186,5,deir el medina
187,5,deir el medina
188,5,deir el medina
189,5,deir el medina
190,5,deir el medina
191,5,deir el medina
192,5,deir el medina
193,5,deir el medina
194,5,deir el medina
195,5,deir el medina
196,5,deir el medina
197,4,deir el medina
198,4,deir el medina
199,5,deir el medina
