,Hotel_Name,Rate,Governorate
0,Stella Di Mare Grand Hotel,4.5,Ain_Sukhna
1,Stella Di Mare Sea Club Hotel,4.5,Ain_Sukhna
2,Tolip Resort El Galala Majestic,4.5,Ain_Sukhna
3,Cancun Sokhna Resort,4.5,Ain_Sukhna
4,Teda Swiss Inn Plaza Hotel Ain Soukhna,4.0,Ain_Sukhna
5,Retal View El Sokhna,4.5,Ain_Sukhna
6,Grand Ocean Sokhna Hotel and Resort,4.5,Ain_Sukhna
7,Tolip Resort El Galala Hills,4.0,Ain_Sukhna
8,Movenpick Resort El Sokhna,4.0,Ain_Sukhna
9,Porto Sokhna Beach Resort,3.5,Ain_Sukhna
10,Stella Di Mare Golf Hotel,4.5,Ain_Sukhna
11,Coral Sea Beach,3.5,Ain_Sukhna
12,Romance Hotel,3.5,Ain_Sukhna
13,Tanoak Hotel,4.5,Ain_Sukhna
14,Fanar de Luna,3.5,Ain_Sukhna
