,Restaurant_Name,Rate,Governorate
0,Hilton Alexandria King's Ranch,4.5,Alexandria
1,Hilton Alexandria Corniche,4.5,Alexandria
2,"Radisson Blu Hotel, Alexandria",4.5,Alexandria
3,TOLIP Hotel Alexandria,3.5,Alexandria
4,Cherry Maryski Hotel,3.5,Alexandria
5,Steigenberger Cecil Hotel,4.0,Alexandria
6,Hilton Alexandria Green Plaza,4.5,Alexandria
7,SUNRISE Alex Avenue Hotel,5.0,Alexandria
8,Romance Alexandria Hotel,4.5,Alexandria
9,Paradise Inn Le Metropole Hotel,3.5,Alexandria
10,Helnan Palestine Hotel,4.0,Alexandria
11,Paradise Inn Windsor Palace Hotel,3.5,Alexandria
12,Plaza Hotel,3.5,Alexandria
13,Sheraton Montazah Hotel,3.5,Alexandria
14,Green Plaza Inn Hotel,4.0,Alexandria
15,Aifu Resort,3.5,Alexandria
16,Alkadi Hotel,3.0,Alexandria
17,Jewel San Stefano Hotel,3.0,Alexandria
18,San Giovanni Hotel,3.5,Alexandria
19,The Grand Plaza Hotel Smouha,4.0,Alexandria
20,Al Maghraby Hotel,4.0,Alexandria
21,Smoha Zahran Haus,5.0,Alexandria
22,Alexander The Great Hotel,3.5,Alexandria
23,Tolip Alexandria Villas And Apartments,5.0,Alexandria
24,Golden Jewel Hotel,4.5,Alexandria
25,Africana Hotel and spa,3.5,Alexandria
26,Alexandria Mediterranean Suites,4.0,Alexandria
27,Sea Star Hotel,2.0,Alexandria
28,Semiramis Hotel,2.5,Alexandria
29,Four Seasons Hotel Alexandria,4.5,Alexandria
