,Hotel_Name,Rate,Governorate
0,Movenpick Resort Aswan,4.5,Aswan
1,Sofitel Legend Old Cataract Aswan,4.5,Aswan
2,Philae Hotel,4.5,Aswan
3,Tolip Aswan Hotel,3.5,Aswan
4,Basma Hotel,3.5,Aswan
5,Pyramisa Island Aswan,4.0,Aswan
6,Hapi Hotel,3.5,Aswan
7,Basmatic Nubian Guest House,5.0,Aswan
8,Nuba Dool Guest House,5.0,Aswan
9,Nubian Holiday House Aswan,4.5,Aswan
10,Kato Dool Nubian House,4.5,Aswan
11,Citymax Hotel Aswan,3.5,Aswan
12,David Hostel,4.0,Aswan
13,Wanas Kato Guest House,5.0,Aswan
14,Basma Executive Club,5.0,Aswan
15,Anakato,4.5,Aswan
16,Pyramisa Isis Corniche Hotel,3.5,Aswan
17,Nubian Lotus,5.0,Aswan
18,Nuba Tod Guest House,5.0,Aswan
19,Marhaba Hotel,3.5,Aswan
20,Ounaty Ka,5.0,Aswan
21,Villa Misk,5.0,Aswan
22,Hamo House,4.5,Aswan
23,Aragheed Nubian Guest House,5.0,Aswan
24,Opal Privat Nubian Hotel,5.0,Aswan
25,Cleopatra Hotel,3.5,Aswan
26,El-amin Guest House,5.0,Aswan
