,Hotel_Name,Rate,Governorate
0,Kempinski Nile Hotel Garden City Cairo,4.5,Cairo
1,Fairmont Nile City,4.5,Cairo
2,Steigenberger Hotel El Tahrir,4.5,Cairo
3,Le Meridien Cairo Airport,4.5,Cairo
4,Sofitel Cairo Nile El Gezirah,4.5,Cairo
5,Le Passage Cairo Hotel & Casino,4.5,Cairo
6,"Sonesta Hotel, Tower & Casino Cairo",4.0,Cairo
7,Novotel Cairo Airport,4.0,Cairo
8,Al Masa Hotel,4.5,Cairo
9,Dahab Hostel,4.5,Cairo
10,Ramses Hilton,4.0,Cairo
11,Dusit Thani LakeView Cairo,4.5,Cairo
12,The St. Regis Cairo,5.0,Cairo
13,"Radisson Blu Hotel, Cairo Heliopolis",3.5,Cairo
14,Concorde El Salam Hotel Cairo by Royal Tulip,4.0,Cairo
15,"The St. Regis Almasa Hotel, Cairo",5.0,Cairo
16,Cairo Paradise Hotel,4.5,Cairo
17,Hilton Cairo Zamalek Residences,4.0,Cairo
18,Hilton Cairo Heliopolis,4.0,Cairo
19,Osiris Hotel,4.5,Cairo
20,"The Nile Ritz-Carlton, Cairo",4.5,Cairo
21,Paradise Boutique Hotel,4.0,Cairo
22,New Grand Royal Hotel Cairo,4.0,Cairo
23,Villa Belle Epoque,4.0,Cairo
24,Valencia Hotel,4.0,Cairo
25,Downtown inn,5.0,Cairo
26,Golden Tulip Flamenco Hotel Flamenco Cairo,3.5,Cairo
27,Tolip El Galaa Hotel Cairo,3.0,Cairo
28,TOLIP Family Park Hotel,3.0,Cairo
29,Bella Casa Hostel,5.0,Cairo
