,Restaurant_Name,Rate,Governorate
0,Jaz Dahabeya,4.5,Dahab
1,Dahab Paradise,5.0,Dahab
2,Ecotel Dahab Bay View Resort,4.0,Dahab
3,Happy Life Village,4.5,Dahab
4,Sheikh Ali Dahab Resort,5.0,Dahab
5,Tropitel Dahab Oasis,4.5,Dahab
6,Golden Europe Hotel,4.5,Dahab
7,Acacia Dahab Hotel,4.5,Dahab
8,The Bedouin Moon Hotel,4.5,Dahab
9,Swiss Inn Resort,4.5,Dahab
10,Le Meridien Dahab Resort,4.5,Dahab
11,Tirana Dahab Resort,4.0,Dahab
12,Red Sea Relax Resort,4.5,Dahab
13,Mirage Village Hotel,4.5,Dahab
14,Neptune Hotel,4.5,Dahab
15,Daniela diving resort Dahab,4.5,Dahab
16,Alf Leila Boutique Hotel,4.5,Dahab
17,Blue Beach Club,4.5,Dahab
18,Dahab Plaza Hotel,4.5,Dahab
19,INMO Divers Home,4.5,Dahab
20,Jowhara Hotel,4.5,Dahab
21,Coral Coast Hotel,4.0,Dahab
22,Hotel Planet Oasis,4.0,Dahab
23,Oricana Hotel,4.5,Dahab
24,Star Of Dahab Hotel,4.5,Dahab
25,El Primo Hotel Dahab,4.5,Dahab
26,Ali Baba Hotel,4.0,Dahab
27,4S Hotel,4.5,Dahab
28,Nesima Resort and Dive Center,4.0,Dahab
29,Monica Hotel,5.0,Dahab
