,Restaurant_Name,Rate,Governorate
0,Best View Pyramids Hotel,4.5,Giza
1,Great Pyramid Inn,4.5,Giza
2,Pyramids View Inn,4.5,Giza
3,"Marriott Mena House, Cairo",4.5,Giza
4,Safir Hotel Cairo,4.5,Giza
5,Four Seasons Hotel Cairo at the First Residence,4.5,Giza
6,Steigenberger Pyramids Cairo,4.5,Giza
7,Hyatt Regency Cairo West,5.0,Giza
8,Hayat Pyramids View Hotel,4.0,Giza
9,Pyramids Planet Hotel,5.0,Giza
10,Giza Pyramids View Inn,5.0,Giza
11,Panorama Pyramids Inn,4.5,Giza
12,Sheraton Cairo Hotel & Casino,4.0,Giza
13,Grand Pyramids Hotel,3.5,Giza
14,Mena Inn Pyramids,4.0,Giza
15,Horus Guest House Pyramids View,4.5,Giza
16,Desert Moon,4.5,Giza
17,Helnan Dreamland Hotel,4.0,Giza
18,Indiana Hotel Cairo,3.0,Giza
19,Ramosa Guest House,4.5,Giza
20,Swiss Inn Nile Hotel,3.5,Giza
21,Pyramisa Suites Hotel Cairo,3.5,Giza
22,Magic Golden Pyramids Inn,5.0,Giza
23,Sunshine Pyramids View,4.0,Giza
24,Horizon Shahrazad Hotel,3.0,Giza
25,Aracan Pyramids Hotel,3.5,Giza
26,Sahara Pyramids Inn,4.0,Giza
27,Pyramids Park Resort,3.0,Giza
28,Tut Pyramids View Hotel,5.0,Giza
29,Gawharet Al Ahram Hotel,3.0,Giza
