,Restaurant_Name,Rate,Governorate
0,Serenity Fun City,4.5,Hurghada
1,Jaz Casa Del Mar Beach,5.0,Hurghada
2,Jaz Casa Del Mar Resort,5.0,Hurghada
3,Premier Le Reve Hotel & Spa,5.0,Hurghada
4,Steigenberger Pure Lifestyle Hotel,5.0,Hurghada
5,Sheraton Miramar Resort El Gouna,4.5,Hurghada
6,Meraki Resort,4.5,Hurghada
7,Baron Palace Sahl Hasheesh,5.0,Hurghada
8,Serenity Makadi Beach,4.5,Hurghada
9,Jungle Aqua Park,4.5,Hurghada
10,Sunrise Royal Makadi Resort,4.5,Hurghada
11,Hilton Hurghada Plaza,4.5,Hurghada
12,Steigenberger Aqua Magic,4.5,Hurghada
13,Sunrise Garden Beach Resort,4.5,Hurghada
14,Prima Life Makadi Hotel,4.5,Hurghada
15,Hurghada Marriott Beach Resort,4.5,Hurghada
16,SUNRISE Aqua Joy Resort,4.5,Hurghada
17,Arabia Azur Resort,4.5,Hurghada
18,Bel Air Azur Resort,4.5,Hurghada
19,The Three Corners Rihana Resort,4.5,Hurghada
20,Royal Star Beach Resort,4.5,Hurghada
21,The Oberoi Beach Resort Sahl Hasheesh,5.0,Hurghada
22,Minamark Beach Resort,4.0,Hurghada
23,Jasmine Palace Resort & Spa,4.0,Hurghada
24,"Fort Arabesque Resort, Spa & Villas",4.0,Hurghada
25,Hawaii Le Jardin Aqua Resort,4.0,Hurghada
26,Hotelux Marina Beach Resort,4.0,Hurghada
27,ZYA Regina Resort and Aqua Park Hurghada,4.0,Hurghada
28,Arabella Azur Resort,4.5,Hurghada
29,Jaz Aquaviva,4.5,Hurghada
