,Restaurant_Name,Rate,Governorate
0,Steigenberger Nile Palace Luxor Hotel,4.5,Luxor
1,Sofitel Winter Palace Luxor,4.5,Luxor
2,Hilton Luxor Resort & Spa,5.0,Luxor
3,Sonesta St. George Hotel Luxor,4.5,Luxor
4,Steigenberger Resort Achti,4.0,Luxor
5,Nefertiti Hotel,4.5,Luxor
6,"Jolie Ville Hotel & Spa - Kings Island, Luxor",4.5,Luxor
7,Pavillon Winter Luxor,4.5,Luxor
8,Venus Hotel,5.0,Luxor
9,Iberotel Luxor,4.0,Luxor
10,Amon Hotel Luxor,4.5,Luxor
11,New Memnon Hotel,5.0,Luxor
12,El Mesala Hotel,4.5,Luxor
13,Hotel Sheherazade,4.5,Luxor
14,Al Moudira Hotel,4.5,Luxor
15,Pyramisa Hotel Luxor,3.5,Luxor
16,Aracan Eatabe Luxor Hotel,4.0,Luxor
17,Shady Hotel Luxor,4.0,Luxor
18,Jewel of the Valley Howard Carter Hotel,5.0,Luxor
19,Cleopatra Hotel Luxor,4.5,Luxor
20,Embrace Hotel,4.5,Luxor
21,Happy Land Hotel,4.5,Luxor
22,Rezeiky Camp & Hotel Luxor,4.5,Luxor
23,El Nakhil Hotel,4.5,Luxor
24,El Gezira Garden Hotel,4.5,Luxor
25,Bob Marley House Hostel,4.5,Luxor
26,Al Hambra Hotel,4.5,Luxor
27,Al Baeirat Hotel,4.5,Luxor
28,Nile Compound,4.5,Luxor
29,Desert Paradise Lodge,5.0,Luxor
