,Hotel_Name,Rate,Governorate
0,Iberotel Costa Mares,5.0,Marsa_Alam
1,Jaz Maraya,5.0,Marsa_Alam
2,The Three Corners Equinox Beach Resort,4.5,Marsa_Alam
3,Royal Marsa & Aqua Park,4.5,Marsa_Alam
4,Steigenberger Resort Alaya,5.0,Marsa_Alam
5,The Three Corners Sea Beach Resort,4.5,Marsa_Alam
6,Sataya Resort Marsa Alam,4.5,Marsa_Alam
7,Three Corners Fayrouz Plaza Beach Resort,4.5,Marsa_Alam
8,Steigenberger Coraya Beach,5.0,Marsa_Alam
9,The Three Corners Happy Life Beach Resort,4.5,Marsa_Alam
10,Solymar Reef Marsa,4.5,Marsa_Alam
11,Hilton Marsa Alam Nubian Resort,4.5,Marsa_Alam
12,Concorde Moreen Beach Resort & Spa,4.5,Marsa_Alam
13,Jaz Dar El Madina,4.5,Marsa_Alam
14,Jaz Grand Marsa,4.5,Marsa_Alam
15,Moevenpick Resort El Quseir,4.5,Marsa_Alam
16,Jaz Solaya,4.5,Marsa_Alam
17,Jaz Lamaya Resort,4.5,Marsa_Alam
18,Hotelux Oriental Coast,4.5,Marsa_Alam
19,Albatros Sea World Marsa Alam,4.5,Marsa_Alam
20,Lazuli Hotel Marsa Alam,4.5,Marsa_Alam
21,Brayka Bay Resort,4.5,Marsa_Alam
22,Bliss Nada Beach Resort,4.0,Marsa_Alam
23,Pense Royal Garden,3.5,Marsa_Alam
24,Radisson Blu Resort El Quseir,4.5,Marsa_Alam
25,Deep Blue Inn,4.5,Marsa_Alam
26,The Oasis,4.5,Marsa_Alam
27,Shams Alam Beach Resort,4.0,Marsa_Alam
28,Jaz Samaya Resort,4.5,Marsa_Alam
29,Marsa Shagra,4.5,Marsa_Alam
