,Restaurant_Name,Rate,Governorate
0,Savoy Sharm El Sheikh,4.5,Sharm_El_Sheikh
1,Steigenberger Alcazar,5.0,Sharm_El_Sheikh
2,Rixos Sharm El Sheikh,5.0,Sharm_El_Sheikh
3,Stella Di Mare Beach Hotel & Spa,5.0,Sharm_El_Sheikh
4,Royal Savoy - Sharm El Sheikh,5.0,Sharm_El_Sheikh
5,SUNRISE Arabian Beach Resort - Grand Select,4.5,Sharm_El_Sheikh
6,Solymar Naama Bay,5.0,Sharm_El_Sheikh
7,Aqua Blu Resort,4.5,Sharm_El_Sheikh
8,Labranda Sharm Club,4.5,Sharm_El_Sheikh
9,Iberotel Palace,4.5,Sharm_El_Sheikh
10,Sierra Sharm El Sheikh,4.5,Sharm_El_Sheikh
11,Baron Resort Sharm El Sheikh,4.5,Sharm_El_Sheikh
12,Sultan Gardens Resort,4.5,Sharm_El_Sheikh
13,Jaz Mirabel Beach,4.5,Sharm_El_Sheikh
14,Hilton Sharks Bay Resort,4.5,Sharm_El_Sheikh
15,Marina Sharm Hotel,4.5,Sharm_El_Sheikh
16,Xperience St. George Homestay,4.5,Sharm_El_Sheikh
17,Aurora Oriental Resort Sharm El Sheikh,4.5,Sharm_El_Sheikh
18,Coral Sea Sensatori Resort,4.5,Sharm_El_Sheikh
19,Four Seasons Resort Sharm El Sheikh,5.0,Sharm_El_Sheikh
20,Royal Albatros Moderna,4.5,Sharm_El_Sheikh
21,Charmillion Club Aqua Park,4.5,Sharm_El_Sheikh
22,Concorde El Salam Hotel Sharm El Sheikh,4.5,Sharm_El_Sheikh
23,Cleopatra Luxury Resort Sharm El Sheikh,4.5,Sharm_El_Sheikh
24,Sentido Reef Oasis Senses Resort,4.5,Sharm_El_Sheikh
25,Jaz Fanara Resort,4.5,Sharm_El_Sheikh
26,IL Mercato Hotel & Spa,4.5,Sharm_El_Sheikh
27,Amar Sina Boutique Village,3.5,Sharm_El_Sheikh
28,Naama Blue Hotel,4.5,Sharm_El_Sheikh
29,Falcon Naama Star,4.0,Sharm_El_Sheikh
