,Hotel_Name,Rate,Governorate
0,Stella Di Mare Grand Hotel,4.5,Ain_Sukhna
1,Stella Di Mare Sea Club Hotel,4.5,Ain_Sukhna
2,Tolip Resort El Galala Majestic,4.5,Ain_Sukhna
3,Cancun Sokhna Resort,4.5,Ain_Sukhna
4,Teda Swiss Inn Plaza Hotel Ain Soukhna,4,Ain_Sukhna
5,Retal View El Sokhna,4.5,Ain_Sukhna
6,Grand Ocean Sokhna Hotel and Resort,4.5,Ain_Sukhna
7,Tolip Resort El Galala Hills,4,Ain_Sukhna
8,Movenpick Resort El Sokhna,4,Ain_Sukhna
9,Porto Sokhna Beach Resort,3.5,Ain_Sukhna
10,Stella Di Mare Golf Hotel,4.5,Ain_Sukhna
11,Coral Sea Beach,3.5,Ain_Sukhna
12,Romance Hotel,3.5,Ain_Sukhna
13,Tanoak Hotel,4.5,Ain_Sukhna
14,Fanar de Luna,3.5,Ain_Sukhna
15,Hilton Alexandria King's Ranch,4.5,Alexandria
16,Hilton Alexandria Corniche,4.5,Alexandria
17,"Radisson Blu Hotel, Alexandria",4.5,Alexandria
18,TOLIP Hotel Alexandria,3.5,Alexandria
19,Cherry Maryski Hotel,3.5,Alexandria
20,Steigenberger Cecil Hotel,4,Alexandria
21,Hilton Alexandria Green Plaza,4.5,Alexandria
22,SUNRISE Alex Avenue Hotel,5,Alexandria
23,Romance Alexandria Hotel,4.5,Alexandria
24,Paradise Inn Le Metropole Hotel,3.5,Alexandria
25,Helnan Palestine Hotel,4,Alexandria
26,Paradise Inn Windsor Palace Hotel,3.5,Alexandria
27,Plaza Hotel,3.5,Alexandria
28,Sheraton Montazah Hotel,3.5,Alexandria
29,Green Plaza Inn Hotel,4,Alexandria
30,Aifu Resort,3.5,Alexandria
31,Alkadi Hotel,3,Alexandria
32,Jewel San Stefano Hotel,3,Alexandria
33,San Giovanni Hotel,3.5,Alexandria
34,The Grand Plaza Hotel Smouha,4,Alexandria
35,Al Maghraby Hotel,4,Alexandria
36,Smoha Zahran Haus,5,Alexandria
37,Alexander The Great Hotel,3.5,Alexandria
38,Tolip Alexandria Villas And Apartments,5,Alexandria
39,Golden Jewel Hotel,4.5,Alexandria
40,Africana Hotel and spa,3.5,Alexandria
41,Alexandria Mediterranean Suites,4,Alexandria
42,Sea Star Hotel,2,Alexandria
43,Semiramis Hotel,2.5,Alexandria
44,Four Seasons Hotel Alexandria,4.5,Alexandria
45,Movenpick Resort Aswan,4.5,Aswan
46,Sofitel Legend Old Cataract Aswan,4.5,Aswan
47,Philae Hotel,4.5,Aswan
48,Tolip Aswan Hotel,3.5,Aswan
49,Basma Hotel,3.5,Aswan
50,Pyramisa Island Aswan,4,Aswan
51,Hapi Hotel,3.5,Aswan
52,Basmatic Nubian Guest House,5,Aswan
53,Nuba Dool Guest House,5,Aswan
54,Nubian Holiday House Aswan,4.5,Aswan
55,Kato Dool Nubian House,4.5,Aswan
56,Citymax Hotel Aswan,3.5,Aswan
57,David Hostel,4,Aswan
58,Wanas Kato Guest House,5,Aswan
59,Basma Executive Club,5,Aswan
60,Anakato,4.5,Aswan
61,Pyramisa Isis Corniche Hotel,3.5,Aswan
62,Nubian Lotus,5,Aswan
63,Nuba Tod Guest House,5,Aswan
64,Marhaba Hotel,3.5,Aswan
65,Ounaty Ka,5,Aswan
66,Villa Misk,5,Aswan
67,Hamo House,4.5,Aswan
68,Aragheed Nubian Guest House,5,Aswan
69,Opal Privat Nubian Hotel,5,Aswan
70,Cleopatra Hotel,3.5,Aswan
71,El-amin Guest House,5,Aswan
72,Kempinski Nile Hotel Garden City Cairo,4.5,Cairo
73,Fairmont Nile City,4.5,Cairo
74,Steigenberger Hotel El Tahrir,4.5,Cairo
75,Le Meridien Cairo Airport,4.5,Cairo
76,Sofitel Cairo Nile El Gezirah,4.5,Cairo
77,Le Passage Cairo Hotel & Casino,4.5,Cairo
78,"Sonesta Hotel, Tower & Casino Cairo",4,Cairo
79,Novotel Cairo Airport,4,Cairo
80,Al Masa Hotel,4.5,Cairo
81,Dahab Hostel,4.5,Cairo
82,Ramses Hilton,4,Cairo
83,Dusit Thani LakeView Cairo,4.5,Cairo
84,The St. Regis Cairo,5,Cairo
85,"Radisson Blu Hotel, Cairo Heliopolis",3.5,Cairo
86,Concorde El Salam Hotel Cairo by Royal Tulip,4,Cairo
87,"The St. Regis Almasa Hotel, Cairo",5,Cairo
88,Cairo Paradise Hotel,4.5,Cairo
89,Hilton Cairo Zamalek Residences,4,Cairo
90,Hilton Cairo Heliopolis,4,Cairo
91,Osiris Hotel,4.5,Cairo
