,Restaurant_Name,Governorate
0,TheCigarBar,Alexandria
1,SantoriniGreekRestaurant,Alexandria
2,SaharEl-LaialyLebaneseRestaurant,Alexandria
3,GingerAsianRestaurant,Alexandria
4,NEOLoungeAlexandria,Alexandria
5,Roberto'sItalianRestaurant,Alexandria
6,LaGourmandiseRestaurantandCafe,Alexandria
7,MassalaZoneIndianRestaurant,Alexandria
8,BalbaaVillage,Alexandria
9,WhiteandBlueRestaurant,Alexandria
10,FishMarket,Alexandria
11,Tejano'sMexicanGrill,Alexandria
12,SeaGull,Alexandria
13,BlazeRestaurant&Cafe,Alexandria
14,AbdElWahabVillage,Alexandria
15,"Fresca,FourSeasonsAlexandriaatSanStefano",Alexandria
16,Roasterycoffee,Alexandria
17,ChezGaby,Alexandria
18,ArousElBahrFishRestaurant,Alexandria
19,FishMarket,Alexandria
20,AlbanSwissra,Alexandria
21,Jeeda's,Alexandria
22,Jars&Jazz,Alexandria
23,SantaLuciaRestaurant,Alexandria
24,ByblosRestaurant,Alexandria
25,ZephereSeaFood,Alexandria
26,TamaraLebaneseBistro,Alexandria
27,Baladygourmet,Alexandria
28,Samakmak,Alexandria
29,Hosny,Alexandria
