,Restaurant_Name,Governorate
0,MezzeRestaurant,Aswan
1,AlQahwaCafe,Aswan
2,PanoramaRestaurant&Bar,Aswan
3,1902Restaurant,Aswan
4,TheTerrace,Aswan
5,BobMarleyGuestHouse&Restaurant&Cafe,Aswan
6,NubianDreamsRestaurant&Cafe,Aswan
7,ElMasry,Aswan
8,ElDokka,Aswan
9,Makanirestaurant,Aswan
10,MakkaRestaurant,Aswan
11,Abeerrestoran,Aswan
12,Salahel-Din,Aswan
13,OrientalKebabgy,Aswan
14,SolaihNubianRestaurant,Aswan
15,PortoSono,Aswan
16,KatoDoolRestaurant&cafe,Aswan
17,OldNubianGuestHouseandRestaurant,Aswan
18,SunDeckRestaurant&Coffee,Aswan
19,NubianRestaurant,Aswan
20,ChefKhalil,Aswan
21,NubianBeach,Aswan
22,AswanMoon,Aswan
23,BitiPizza,Aswan
24,IbizaNubianHouse,Aswan
25,Cilantro,Aswan
26,KingJamaicaRestaurant&Cafe,Aswan
27,AlDokka,Aswan
28,Saraya,Aswan
29,Emy,Aswan
