,Restaurant_Name,Governorate
0,TheViewRestaurant,Cairo
1,TheBlueRestaurant&Grill,Cairo
2,NobleHouse,Cairo
3,Culina,Cairo
4,Nisantasi,Cairo
5,AlKhalEgyptianRestaurant,Cairo
6,FayruzLebaneseRestaurant,Cairo
7,SaigonRestaurant&Lounge,Cairo
8,OsmanlyRestaurant,Cairo
9,Beeja,Cairo
10,SolisRestaurant,Cairo
11,Vivo-TheNileRitz-Carlton,Cairo
12,ScoresSportsBar&Restaurant,Cairo
13,SachiHeliopolis,Cairo
14,ALDabke,Cairo
15,EsplanadeCafeRestaurant,Cairo
16,LEXIE'S,Cairo
17,Charlie'sRestaurant,Cairo
18,ShogunJapaneseRestaurant,Cairo
19,Xodo,Cairo
20,ChinoixRestaurant,Cairo
21,Raj,Cairo
22,TheSmokery,Cairo
23,ZENCafe&Lounge,Cairo
24,ESCA,Cairo
25,LobbyLounge,Cairo
26,KamalaatConradCairo,Cairo
27,TheSmokeryHeliopolis,Cairo
28,Piccolino,Cairo
29,LaZisa,Cairo
