,Restaurant_Name,Governorate
0,ZANOOBASlowCooking,Dahab
1,Lindy'sDahabRestaurant,Dahab
2,ShamsRestaurant,Dahab
3,EelGardenViewRestaurant,Dahab
4,MeyaMeya,Dahab
5,RedCat,Dahab
6,SharkRestaurant,Dahab
7,Hell'sKitchenDahab,Dahab
8,AthanorCafe-Pizzeria,Dahab
9,Ralph'sGermanBakery,Dahab
10,AliBabaRestaurant,Dahab
11,YumYum,Dahab
12,Friends,Dahab
13,KingChicken,Dahab
14,BoxMeal,Dahab
15,CafeParisDahab,Dahab
16,NamasteIndianCuisine,Dahab
17,SiOmarRestaurant,Dahab
18,EverydayCafe&Restaurant,Dahab
19,ElFanar,Dahab
20,TeaGardenCafe,Dahab
21,NemoRestaurant,Dahab
22,TheKitchenRestaurant,Dahab
23,Ramez&PaolaRestaurant,Dahab
24,BlueHouseThaiRestaurant,Dahab
25,YallaBar,Dahab
26,AlCaponeRestaurant,Dahab
27,FoodUrge,Dahab
28,TheCaves,Dahab
29,EldoradoLodge&Restaurant,Dahab
