,Restaurant_Name,Governorate
0,TheViewRestaurant,Giza
1,TheBlueRestaurant&Grill,Giza
2,Culina,Giza
3,SaigonRestaurant&Lounge,Giza
4,OsmanlyRestaurant,Giza
5,Beeja,Giza
6,SolisRestaurant,Giza
7,Vivo-TheNileRitz-Carlton,Giza
8,ScoresSportsBar&Restaurant,Giza
9,Xodo,Giza
10,ZENCafe&Lounge,Giza
11,LobbyLounge,Giza
12,KamalaatConradCairo,Giza
13,LaZisa,Giza
14,Birdcage,Giza
15,NairuRestaurantandLounge,Giza
16,Bar'Oro,Giza
17,BabEl-Sharq,Giza
18,L'UlivetoItalianRestaurant,Giza
19,PiccoloMondo,Giza
20,Sushiramis,Giza
21,TheGrillRestaurant&Lounge,Giza
22,NamasteIndianRestaurant,Giza
23,RestaurantElDarDarak,Giza
24,O'sPasta,Giza
25,Night&Day,Giza
26,Sabaya,Giza
27,Giannini’sNewYorkItalianRestaurant,Giza
28,KosharyAbouTarek,Giza
29,SapporoJapaneseRestaurant,Giza
