,Restaurant_Name,Governorate
0,Nino'sRestaurant,Hurghada
1,SyakeSushiHurghada,Hurghada
2,Nino'sRestaurant,Hurghada
3,MakaiTukaiRestaurant,Hurghada
4,MobyDick,Hurghada
5,Sofra,Hurghada
6,MakaiTukai,Hurghada
7,CoralloRestaurant,Hurghada
8,BeachRestaurant,Hurghada
9,TheGreekBar&Restaurant,Hurghada
10,Luca'sPub&Grub,Hurghada
11,WavesRestaurant&LoungeBar,Hurghada
12,TheMoonRestaurant,Hurghada
13,TheGrillRestaurant,Hurghada
14,BongoyoRestobar,Hurghada
15,AmayaRestaurantMadinatMakadi,Hurghada
16,MiCasaRestaurant,Hurghada
17,OldSchoolBar&Restaurant,Hurghada
18,SoloRestaurant&Lounge,Hurghada
19,S-SquareSamurai,Hurghada
20,RedDragon-AsianKitchen&Bar,Hurghada
21,Karibu-Bar&Restaurant,Hurghada
22,Grill&ChillRestaurant,Hurghada
23,S-SquareSushiBar,Hurghada
24,Chuchichaschtli,Hurghada
25,HangoverBar&Grill,Hurghada
26,Kahramana,Hurghada
27,S-SquareSumoHouse,Hurghada
28,AlexBeachClub&Restaurant,Hurghada
29,TheHeavenRestaurant,Hurghada
