,Restaurant_Name,Governorate
0,SteigenbergerNilePalaceLuxorRestaurants,Luxor
1,AishaRestaurant,Luxor
2,ElTarboush,Luxor
3,Al-SahabyLaneRestaurant,Luxor
4,SofraRestaurant&Cafe,Luxor
5,PizzaRoma-it,Luxor
6,TheLanternRoomRestaurant,Luxor
7,SunflowerRestaurantWestbank,Luxor
8,SunRiseRestaurant,Luxor
9,Snobs,Luxor
10,OasisPalace,Luxor
11,ATasteofIndia&ArabiaInternationalRestaurantPlusBar,Luxor
12,Gerda'sGarden,Luxor
13,AfricaRestaurant,Luxor
14,Tutankhamon,Luxor
15,TheKingsHeadPubandRestaurant,Luxor
16,AboudiBreak,Luxor
17,TuttiFruttiRestaurant,Luxor
18,NileViewRestaurant,Luxor
19,NubianHouseRestaurant,Luxor
20,EsquireRestaurantandBar,Luxor
21,SecretGardenCafe,Luxor
22,1886Restaurant,Luxor
23,KamThaiTakeaway,Luxor
24,ElwahaRestaurant&coffeshop,Luxor
25,WolfRestaurant,Luxor
26,SonestaSt,Luxor
27,Marsam,Luxor
28,OasisCafe,Luxor
29,Cafe&RestaurantMaratonga-MedinetHabu,Luxor
