,Restaurant_Name,Governorate
0,Kazoku,New_Cairo_City
1,LEXIE'S,New_Cairo_City
2,Tao,New_Cairo_City
3,TheSmokery,New_Cairo_City
4,Piccolino,New_Cairo_City
5,ChinoixRestaurant,New_Cairo_City
6,Cucina,New_Cairo_City
7,Romanov,New_Cairo_City
8,BabAlQasr,New_Cairo_City
9,JWSteakhouseCairoMirageCity,New_Cairo_City
10,LaPatisserie,New_Cairo_City
11,SHINKO,New_Cairo_City
12,Lucca,New_Cairo_City
13,Lemongrass,New_Cairo_City
14,Asmak,New_Cairo_City
15,VibesLounge&Terrace,New_Cairo_City
16,El-khanRestaurant,New_Cairo_City
17,Plateau,New_Cairo_City
18,Tao,New_Cairo_City
19,GingerRestaurant,New_Cairo_City
20,Tamara,New_Cairo_City
21,Yana,New_Cairo_City
22,Eatery,New_Cairo_City
23,ElRehabCityFoodCourt,New_Cairo_City
24,VintageBar&Lounge,New_Cairo_City
25,Paul,New_Cairo_City
26,Crave,New_Cairo_City
27,TheTapEast,New_Cairo_City
28,RestaurantElMenoufyElKababgi,New_Cairo_City
29,CapitalGrill,New_Cairo_City
