,Restaurant_Name,Governorate
0,TheQueenVic,Hurghada
1,FleurDeLis,Hurghada
2,HouseofSpice,Hurghada
3,CasaMia,Hurghada
4,ElKababgy,Hurghada
5,BoharatRestaurant,Hurghada
6,ArabBucks,Hurghada
7,Rangoli,Hurghada
8,MandarinBistro,Hurghada
9,TheBeach,Hurghada
10,Bombay,Hurghada
11,TheBlueFountain,Hurghada
12,"DaMauro""SoloPasta&Pizza""",Hurghada
13,CafeChino,Hurghada
14,Luxor,Hurghada
15,SushiLounge,Hurghada
16,FusionSeafood,Hurghada
17,"CamelBar&Rooftop,SharmElSheikh",Hurghada
18,IlVizietto,Hurghada
19,"Pomodoro,SharmElSheikh",Hurghada
20,Jive1Bar,Hurghada
21,UnionJackBarandRestaurant,Hurghada
22,L'entrecoteSteakHouse,Hurghada
23,MaiThai,Hurghada
24,FarshaCafe,Hurghada
25,FairuzFinestLebaneseCuisine,Hurghada
26,HardRockCafe,Hurghada
27,AkunaMatata,Hurghada
28,SalaThaiRestaurant,Hurghada
29,BusStopNabq,Hurghada
