,Restaurant_Name,Governorate
0,PaneVinoRestaurant,Shubra_Al_Khaymah
1,SaigonRestaurant&Lounge,Shubra_Al_Khaymah
2,Beeja,Shubra_Al_Khaymah
3,L'UlivetoItalianRestaurant,Shubra_Al_Khaymah
4,SachiHeliopolis,Shubra_Al_Khaymah
5,Charlie'sRestaurant,Shubra_Al_Khaymah
6,KamalaatConradCairo,Shubra_Al_Khaymah
7,TheSmokeryHeliopolis,Shubra_Al_Khaymah
8,LaZisa,Shubra_Al_Khaymah
9,ESCA,Shubra_Al_Khaymah
10,Birdcage,Shubra_Al_Khaymah
11,Maat,Shubra_Al_Khaymah
12,Culina,Shubra_Al_Khaymah
13,O'sPasta,Shubra_Al_Khaymah
14,Vivo-TheNileRitz-Carlton,Shubra_Al_Khaymah
15,NamasteIndianRestaurant,Shubra_Al_Khaymah
16,LeMarche,Shubra_Al_Khaymah
17,PiccoloMondo,Shubra_Al_Khaymah
18,LobbyLounge,Shubra_Al_Khaymah
19,Bar'Oro,Shubra_Al_Khaymah
20,BabEl-Sharq,Shubra_Al_Khaymah
21,TheBlueRestaurant&Grill,Shubra_Al_Khaymah
22,Nisantasi,Shubra_Al_Khaymah
23,KosharyAbouTarek,Shubra_Al_Khaymah
24,AlKhalEgyptianRestaurant,Shubra_Al_Khaymah
25,OsmanlyRestaurant,Shubra_Al_Khaymah
26,FayruzLebaneseRestaurant,Shubra_Al_Khaymah
27,Lychee,Shubra_Al_Khaymah
28,CasaMiaItalianBrasserie,Shubra_Al_Khaymah
29,ElTorr,Shubra_Al_Khaymah
