,Restaurant_Name,Governorate,Rate
0,TheCigarBar,Alexandria,5
1,SantoriniGreekRestaurant,Alexandria,5
2,SaharEl-LaialyLebaneseRestaurant,Alexandria,5
3,GingerAsianRestaurant,Alexandria,5
4,NEOLoungeAlexandria,Alexandria,5
5,Roberto'sItalianRestaurant,Alexandria,5
6,LaGourmandiseRestaurantandCafe,Alexandria,5
7,MassalaZoneIndianRestaurant,Alexandria,5
8,BalbaaVillage,Alexandria,4
9,WhiteandBlueRestaurant,Alexandria,4
10,FishMarket,Alexandria,4
11,Tejano'sMexicanGrill,Alexandria,5
12,SeaGull,Alexandria,4.5
13,BlazeRestaurant&Cafe,Alexandria,4.5
14,AbdElWahabVillage,Alexandria,4.5
15,"Fresca,FourSeasonsAlexandriaatSanStefano",Alexandria,4.5
16,Roasterycoffee,Alexandria,4
17,ChezGaby,Alexandria,4
18,ArousElBahrFishRestaurant,Alexandria,4.5
19,FishMarket,Alexandria,4
20,AlbanSwissra,Alexandria,4
21,Jeeda's,Alexandria,5
22,Jars&Jazz,Alexandria,4.5
23,SantaLuciaRestaurant,Alexandria,4
24,ByblosRestaurant,Alexandria,4.5
25,ZephereSeaFood,Alexandria,4.5
26,TamaraLebaneseBistro,Alexandria,4.5
27,Baladygourmet,Alexandria,5
28,Samakmak,Alexandria,4
29,Hosny,Alexandria,4
30,MezzeRestaurant,Aswan,5
31,AlQahwaCafe,Aswan,5
32,PanoramaRestaurant&Bar,Aswan,4.5
33,1902Restaurant,Aswan,4.5
34,TheTerrace,Aswan,4.5
35,BobMarleyGuestHouse&Restaurant&Cafe,Aswan,5
36,NubianDreamsRestaurant&Cafe,Aswan,4.5
37,ElMasry,Aswan,4
38,ElDokka,Aswan,4
39,Makanirestaurant,Aswan,4.5
40,MakkaRestaurant,Aswan,4
41,Abeerrestoran,Aswan,4.5
42,Salahel-Din,Aswan,4
43,OrientalKebabgy,Aswan,4.5
44,SolaihNubianRestaurant,Aswan,4.5
45,PortoSono,Aswan,4
46,KatoDoolRestaurant&cafe,Aswan,4.5
47,OldNubianGuestHouseandRestaurant,Aswan,4.5
48,SunDeckRestaurant&Coffee,Aswan,5
49,NubianRestaurant,Aswan,4
50,ChefKhalil,Aswan,3.5
51,NubianBeach,Aswan,3.5
52,AswanMoon,Aswan,3.5
53,BitiPizza,Aswan,4
54,IbizaNubianHouse,Aswan,4
55,Cilantro,Aswan,4
56,KingJamaicaRestaurant&Cafe,Aswan,5
57,AlDokka,Aswan,4
58,Saraya,Aswan,4
59,Emy,Aswan,3.5
60,TheViewRestaurant,Cairo,5
61,TheBlueRestaurant&Grill,Cairo,5
62,NobleHouse,Cairo,5
63,Culina,Cairo,5
64,Nisantasi,Cairo,5
65,AlKhalEgyptianRestaurant,Cairo,5
66,FayruzLebaneseRestaurant,Cairo,5
67,SaigonRestaurant&Lounge,Cairo,5
68,OsmanlyRestaurant,Cairo,5
69,Beeja,Cairo,5
70,SolisRestaurant,Cairo,5
71,Vivo-TheNileRitz-Carlton,Cairo,5
72,ScoresSportsBar&Restaurant,Cairo,5
73,SachiHeliopolis,Cairo,5
74,ALDabke,Cairo,5
75,EsplanadeCafeRestaurant,Cairo,5
76,LEXIE'S,Cairo,5
77,Charlie'sRestaurant,Cairo,5
78,ShogunJapaneseRestaurant,Cairo,5
79,Xodo,Cairo,5
80,ChinoixRestaurant,Cairo,5
81,Raj,Cairo,5
82,TheSmokery,Cairo,4.5
83,ZENCafe&Lounge,Cairo,5
84,ESCA,Cairo,5
85,LobbyLounge,Cairo,5
86,KamalaatConradCairo,Cairo,5
87,TheSmokeryHeliopolis,Cairo,5
88,Piccolino,Cairo,5
89,LaZisa,Cairo,5
90,ZANOOBASlowCooking,Dahab,5
91,Lindy'sDahabRestaurant,Dahab,5
92,ShamsRestaurant,Dahab,4.5
93,EelGardenViewRestaurant,Dahab,5
94,MeyaMeya,Dahab,4.5
95,RedCat,Dahab,4.5
96,SharkRestaurant,Dahab,4.5
97,Hell'sKitchenDahab,Dahab,4.5
98,AthanorCafe-Pizzeria,Dahab,4.5
99,Ralph'sGermanBakery,Dahab,4.5
100,AliBabaRestaurant,Dahab,4.5
101,YumYum,Dahab,4.5
102,Friends,Dahab,4.5
103,KingChicken,Dahab,4.5
104,BoxMeal,Dahab,4.5
105,CafeParisDahab,Dahab,5
106,NamasteIndianCuisine,Dahab,4.5
107,SiOmarRestaurant,Dahab,5
108,EverydayCafe&Restaurant,Dahab,4.5
109,ElFanar,Dahab,4.5
110,TeaGardenCafe,Dahab,5
111,NemoRestaurant,Dahab,4
112,TheKitchenRestaurant,Dahab,4.5
113,Ramez&PaolaRestaurant,Dahab,4.5
114,BlueHouseThaiRestaurant,Dahab,4.5
115,YallaBar,Dahab,4
116,AlCaponeRestaurant,Dahab,4
117,FoodUrge,Dahab,5
118,TheCaves,Dahab,5
119,EldoradoLodge&Restaurant,Dahab,4.5
120,TheViewRestaurant,Giza,5
121,TheBlueRestaurant&Grill,Giza,5
122,Culina,Giza,5
123,SaigonRestaurant&Lounge,Giza,5
124,OsmanlyRestaurant,Giza,5
125,Beeja,Giza,5
126,SolisRestaurant,Giza,5
127,Vivo-TheNileRitz-Carlton,Giza,5
128,ScoresSportsBar&Restaurant,Giza,5
129,Xodo,Giza,5
130,ZENCafe&Lounge,Giza,5
131,LobbyLounge,Giza,5
132,KamalaatConradCairo,Giza,5
133,LaZisa,Giza,5
134,Birdcage,Giza,4.5
135,NairuRestaurantandLounge,Giza,5
136,Bar'Oro,Giza,5
137,BabEl-Sharq,Giza,5
138,L'UlivetoItalianRestaurant,Giza,5
139,PiccoloMondo,Giza,5
140,Sushiramis,Giza,5
141,TheGrillRestaurant&Lounge,Giza,5
142,NamasteIndianRestaurant,Giza,4.5
143,RestaurantElDarDarak,Giza,4.5
144,O'sPasta,Giza,4.5
145,Night&Day,Giza,4.5
146,Sabaya,Giza,4.5
147,Giannini’sNewYorkItalianRestaurant,Giza,5
148,KosharyAbouTarek,Giza,4.5
149,SapporoJapaneseRestaurant,Giza,5
150,TheQueenVic,Sharm El Sheikh,4.5
151,FleurDeLis,Sharm El Sheikh,5
152,HouseofSpice,Sharm El Sheikh,5
153,CasaMia,Sharm El Sheikh,5
154,ElKababgy,Sharm El Sheikh,5
155,BoharatRestaurant,Sharm El Sheikh,5
156,ArabBucks,Sharm El Sheikh,5
157,Rangoli,Sharm El Sheikh,5
158,MandarinBistro,Sharm El Sheikh,5
159,TheBeach,Sharm El Sheikh,5
160,Bombay,Sharm El Sheikh,4.5
161,TheBlueFountain,Sharm El Sheikh,5
162,"DaMauro""SoloPasta&Pizza""",Sharm El Sheikh,5
163,CafeChino,Sharm El Sheikh,4.5
164,Luxor,Sharm El Sheikh,4.5
165,SushiLounge,Sharm El Sheikh,4.5
166,FusionSeafood,Sharm El Sheikh,4.5
167,"CamelBar&Rooftop,SharmElSheikh",Sharm El Sheikh,4.5
168,IlVizietto,Sharm El Sheikh,4.5
169,"Pomodoro,SharmElSheikh",Sharm El Sheikh,4.5
170,Jive1Bar,Sharm El Sheikh,4.5
171,UnionJackBarandRestaurant,Sharm El Sheikh,4.5
172,L'entrecoteSteakHouse,Sharm El Sheikh,4.5
173,MaiThai,Sharm El Sheikh,4.5
174,FarshaCafe,Sharm El Sheikh,4.5
175,FairuzFinestLebaneseCuisine,Sharm El Sheikh,4.5
176,HardRockCafe,Sharm El Sheikh,4.5
177,AkunaMatata,Sharm El Sheikh,4.5
178,SalaThaiRestaurant,Sharm El Sheikh,4.5
