Hotel_Name,Location,Rate,Governorate
Four Seasons Hotel Alexandria at San Stefano,"399 El Geish Road, Alexandria, 21599",9.6,Alexandria
TOLIP North Coast Hotel,"80 KM Marasa Matrouh Road, Al-Hammam",9.4,Alexandria
Crystal Inn by Almasa - El Alamein,"Marina El Alamein, El Alamein, Matrouh Governorate",9,Alexandria
Steigenberger Cecil Alexandria Hotel,"16, Saad Zagloul Square, Raml Station, Alexandria, 11015",9,Alexandria
Panacea Hotel Borg El Arab,"22 KM Borg El Arab Road, King Mariout, Borg el Arab, 21411",8.8,Alexandria
Hilton Alexandria Green Plaza,"14th of May Bridge Road, Alexandria, 21615",8.8,Alexandria
SUNRISE Alex Avenue Hotel,"Cornish Road, Roushdy, Alexandria, 99998",8,Alexandria
Tolip Family Club Borg El Arab,"Army Stadium, Gate 8, Al-'Amriyah, 21934",8,Alexandria
Hilton Alexandria Corniche,"544 El Geish Road, Alexandria, 21611, Beheira",7.8,Alexandria
Helnan Palestine Hotel,"Montaza Palace Royal Gardens, Alexandria",7.8,Alexandria
Alexander the Great Hotel - Alexotel,"5 Oskofia street, Alexandria, 99999",7.6,Alexandria
Paradise Inn Le Metropole Hotel,"52. Saad Zaghloul St., Alexandria, 21111",7.4,Alexandria
Paradise Inn Beach Resort,"El-Shaheed youssef El-Sebaey, Alexandria",7.4,Alexandria
Borg El Arab Beach Hotel,"Km 52, Alexandria Matrouh Road, Borg el Arab, 23121, Alexandria",7.4,Alexandria
Tolip Alexandria,"252, Moustafa Kamel, Corniche Road, Alexandria",7.4,Alexandria
Adham Compound,"King Mariout - Borg El Arab High Way, Al-'Amriyah, 55",7.2,Alexandria
Aura Resort Sidi Abdel Rahman - El Alamein,"Km 138 Alexandria-Matrouh Costal Road, El Alamein, Marsa Matrouh Governorate",7.2,Alexandria
San Giovanni Stanly Hotel & Restaurant,"205 El Gueish Avenue, Alexandria, Egypt",7,Alexandria
Plaza Hotel Alexandria,"El Gueish Avenue 394, Alexandria, 21532",7,Alexandria
Windsor Palace Hotel,"17, El Shohada St., El Ramle Station, Alexandria, 21111",6.8,Alexandria
Cherry Maryski Hotel,"No 9, El Borsa El Kadema Street, Alexandria, 21519",6.6,Alexandria
The Grand Plaza Hotel Smouha,"14th May Avenue, Smouha, Alexandria",6.6,Alexandria
Sheraton Montazah Hotel,"Corniche Road, Alexandria",6.6,Alexandria
Aifu Resort,"Sheraton Montazah Towers, Cournish Road, Alexandria",6.2,Alexandria
Amoun Hotel Alexandria,"32 El Nasr St., El Manshia, Alexandria, 9999, Alexandria Governorate",5.6,Alexandria
Royal NJ Hotel,"Central Zone Block 5 No. 1, New Burj al-'Arab City, 21934, Alexandria",5.6,Alexandria
Sea View Hotel Elagamy,"Elagamy Elbetash End of Elhanfya Street, Alexandria, 21928",4,Alexandria
Green Leaves Aqua Park Beach Resort North Coast,"75 KM Alexandria Matrouh Road, Al-Hammam, 00000",4,Alexandria
Siesta Hotel,"Front of Marina Gate 5-Alex.Matrouh Rd, Al-Hammam, 51512, Matrouh Governorate",,Alexandria
Siesta Hotel,"Front of Marina Gate 5-Alex.Matrouh Rd, Al-Hammam, 51512, Matrouh Governorate",,Alexandria
Romance Alexandria Hotel,"303 Tareek El Gueish Saba Pasha, Alexandria",8,Alexandria
Rixos Alamein,"North Coast Matruh Road, Ad-Dab'ah",9,Alexandria
Jewel San Stefano Hotel,"409 El Gaish Road, Alexandria",8,Alexandria
"Radisson Blu Hotel, Alexandria","Mehwar El Taameer, Alex West, Al-'Amriyah, 21599",8.4,Alexandria
Golf Porto Marina,"Km 110 Alexandria, Marsa Matrouh Road, El Alamein",10,Alexandria
