Hotel_Name,Location,Rate,Governorate
Kato Dool Nubian House,"Gharb Sohail Aswan, Aswan",9.2,Aswan
Villa Misk,"Pateniol, Khazan Sharq, Aswan, 81111, Aswan",9,Aswan
Movenpick Resort Aswan,"Elephantine Island, Aswan, 81111",8.6,Aswan
Tolip Aswan Hotel,"Cornich El Nile, Aswan, 294",8.6,Aswan
Basma Executive Club,"Elfanadek street, 81111, Aswan, Aswan Governorate",7.8,Aswan
Obelisk Nile Hotel Aswan,"Corniche El Nile, Aswan, Aswan",7.4,Aswan
Basma Hotel Aswan,"EI fanadek street, Aswan, 1111, Aswan",7,Aswan
Ajilika,"Hissa Island, Aswan, Aswan Governorate",,Aswan
Guesthouse Bet el Kerem,"Nagh El Kuba, Aswan, Aswan, Aswan Governorate",,Aswan
Anakob,"Aswan, Aswan Governorate",,Aswan
Benben By Dhara Hotels,"Philae Island, Aswan, Aswan Governorate",,Aswan
Citymax Hotel Aqua Park,Private host,,Aswan
Anakato Kiki,"West Sohil, Aswan, Aswan",,Aswan
Citymax Hotel Aswan,"Kornish Al Nile, Aswan",8.4,Aswan
Hadouta Masreya - Nubian Guest House,"Gharb Soheil, Aswan, Egypt",8.4,Aswan
The Mango Guesthouse,"Jazirat Aswan, Aswan, Aswan Governorate",8.4,Aswan
Maghrabi's Guest House,"Aswan west bank, naga El quba, Aswan, 81518, Aswan",9.6,Aswan
Kendaka Nubian House,"Nagaa Suhayl Gharb, Aswan, Aswan Governorate",9,Aswan
Nubian Kindom Aragheed House,"Street 2, Aswan, Aswan Governorate",10,Aswan
MS Movenpick Prince Abbas Nile Cruise,"Aswan Nile Cruise Port, Aswan, 00000, Aswan Governorate",8,Aswan
Nuba Narty,"Saloga and Gazal National Park, Aswan, 81111",8,Aswan
