Hotel_Name,Location,Rate,Governorate
Hotel Longchamps Cairo,"21 Ismail Mohamed Street, Cairo",9.8,Cairo
The St. Regis Cairo,"1189 Corniche El Nil, Downtown Cairo, Cairo, Cairo",9.6,Cairo
Royal Maadi Hotel,"11, Rd.18, Sarayat El Maadi, Cairo",9.4,Cairo
Monte Cairo Serviced Apartment,"88 Mokattam Street, Mokattam, Cairo, 11571, Cairo Governorate",9.4,Cairo
Four Seasons Hotel Cairo at First Residence,"35 Giza Street, Giza, 12311",9.2,Cairo
"Staybridge Suites Cairo Citystars, an IHG Hotel","Emtedad Makram Obeid Street, Cairo, 11737",9.2,Cairo
Great Pyramid Inn,"14 Abou Al Hool Al Seiahi, Giza, 12561",9.2,Cairo
Al Madiafa,"4 Champollion Rd, Cairo, Cairo Governorate",9,Cairo
Valencia Hotel,"1 Seket Elfadl Talaat Harb Street, Cairo, 11512",9,Cairo
Le Méridien Cairo Airport,"Cairo Airport , Terminal 3, Cairo, 11341",9,Cairo
Le Riad Hotel de Charme,"114 El Moez St., Cairo",9,Cairo
Giza Pyramids View Inn,"6 sphinx St,pyramids,Giza,Cairo,Egypt, Giza, 12557, giza",9,Cairo
Pyramids Top Inn,"Abu Elhol Street Pyramids Area No:15, Giza, 11112, Egypt",9,Cairo
Nile View Aton Cruise,"Maadi Corniche, Next to Al Shorouk Club, Turah, Cairo Governorate",9,Cairo
Four Seasons Hotel Cairo at Nile Plaza,"1089 Corniche El Nile, Cairo, 11519",8.8,Cairo
Helnan Dreamland Hotel & Conference Center,"Wahat Road, Dreamland, 6th of October City",8.8,Cairo
JW Marriott Hotel Cairo,"Ring Road-Mirage City, New Cairo, 11757",8.8,Cairo
Marriott Mena House Cairo,"6 Pyramids Road, Giza, 12556",8.8,Cairo
Valencia Hotel,"1 Seket Elfadl Talaat Harb Street, Cairo, 11512",9,Cairo
Le Méridien Cairo Airport,"Cairo Airport , Terminal 3, Cairo, 11341",9,Cairo
Le Riad Hotel de Charme,"114 El Moez St., Cairo",9,Cairo
Giza Pyramids View Inn,"6 sphinx St,pyramids,Giza,Cairo,Egypt, Giza, 12557, giza",9,Cairo
Pyramids Top Inn,"Abu Elhol Street Pyramids Area No:15, Giza, 11112, Egypt",9,Cairo
Nile View Aton Cruise,"Maadi Corniche, Next to Al Shorouk Club, Turah, Cairo Governorate",9,Cairo
Four Seasons Hotel Cairo at Nile Plaza,"1089 Corniche El Nile, Cairo, 11519",8.8,Cairo
Helnan Dreamland Hotel & Conference Center,"Wahat Road, Dreamland, 6th of October City",8.8,Cairo
JW Marriott Hotel Cairo,"Ring Road-Mirage City, New Cairo, 11757",8.8,Cairo
Marriott Mena House Cairo,"6 Pyramids Road, Giza, 12556",8.8,Cairo
The Location Hotel,"34 Abdelkhalek tharwat ST, Cairo, Cairo",8.8,Cairo
Tahrir Plaza Suites,"19 Meret Basha St., Cairo, 99999, Cairo Governorate",8.8,Cairo
Kempinski Nile Hotel Cairo,"12 Ahmed Ragheb Street, Cairo, 11519, Cairo Governorate",8.8,Cairo
Steigenberger Hotel El Tahrir,"2, Kasr Al Nile Street, Downtown, Cairo, Cairo Governorate",8.8,Cairo
Safir Hotel Cairo,"Orman, El Missaha Square, Giza, 12611",8.8,Cairo
Desert Moon,"Hadayek Al Ahram 201W, Giza, 12611, Giza Governatore",8.8,Cairo
Havana Hotel Cairo,"26 syria street El mohandssen area, Giza, 12411, giza",8.6,Cairo
Zayed Hotel,"42 Abu El Mahasn El Shazly Square, Giza, 12411",8.6,Cairo
"InterContinental Cairo Citystars, an IHG Hotel","Omar Ibn El Khattab Street, Cairo, 11737",8.6,Cairo
1920s Boutique Hotel and Restaurants,"58 Beirut 2 smanod street, Heliopolis, Cairo, 11757",8.6,Cairo
"The Nile Ritz-Carlton, Cairo","1113 Corniche El Nil Street, Cairo, 11221",8.6,Cairo
Golden Hotel Cairo,"13 Talaat Harb st, Downtown, Cairo, 11111",8.6,Cairo
Pyramids Valley,"25 Abo Alhool Street, Giza, 12557, Giza",8.4,Cairo
Concorde El Salam Hotel,"65 Abdel Hamid Badawi St, Cairo, 11776",8.4,Cairo
