Hotel_Name,Location,Rate,Governorate
Tropitel Dahab Oasis Resort,"Blue Hole Road Dolphin Bay 0 3, Dahab, 0, South Sinai Governorate",8,Dahab
Daniela Village Dahab,"43 Blue Hole Road, Dahab, South Sinai Governorate",8.2,Dahab
Swiss Inn Resort Dahab,"Dahab, St. Catherine, 46111, South Sinai Governorate",8.8,Dahab
Jaz Dahabeya,"Lagoon Area, St. Catherine, South Sinai Governorate",9,Dahab
Bedouin Moon Hotel,"Blue Hole Road, St. Catherine, South Sinai Governorate",8.2,Dahab
Golden Star Camb,"Al Masbet 4, Dahab, St. Catherine, 46617, South Sinai Governorate",,Dahab
Sheikh Ali Dahab Resort,"New Mashraba Street, St. Catherine, South Sinai Governorate",10,Dahab
Le Meridien Dahab Resort,"South Sinai, St. Catherine, South Sinai Governorate",7.4,Dahab
Golden Europe Hotel,"1 Lighthouse Road, Dahab, St. Catherine, 46617, South Sinai Governorate",8,Dahab
Family Dahab House,"St. Catherine, South Sinai Governorate",,Dahab
El Primo Dahab Hotel,"El Melik Street, St. Catherine, South Sinai Governorate",8,Dahab
Sarah Village Dahab,"Lagoona area, Dahab, St. Catherine, South Sinai Governorate",,Dahab
Banana Beach Camp,"Nuweiba, Nuweiba, 11114, South Sinai Governorate",,Dahab
Sababa hotel Dahab,"Dahab Main Promenade, St. Catherine, 46617",6,Dahab
Ecotel Dahab Bay View Resort,"Dehab-Sharm El Sheikh, St. Catherine, 45214, South Sinai Governorate",9.4,Dahab
Coral Resort Nuweiba,"Newabaa Street, Nuweiba, South Sinai Governorate",8.2,Dahab
Shams Hotel & Dive Centre,"Mashraba St, St. Catherine, 46617, South Sinai Governorate",8,Dahab
Skyrock,"St. Catherine, South Sinai Governorate",8.4,Dahab
Jimmy Hotel Dahab,"Dahab Mashraba st. DOWN TOWN, St. Catherine, South Sinai Governorate",9.6,Dahab
Star Of Dahab,"Mashraba St, St. Catherine, 46617, South Sinai Governorate",8,Dahab
Sayadeen Village,"Sayadeen Village Road, Nuweiba, Nuweiba, South Sinai Governorate",10,Dahab
Neptune Hotel,"Al Masbat, Next To The Bridge, St. Catherine, South Sinai Governorate",10,Dahab
Dahab Divers,"El Fanar Street, St. Catherine, 46617, South Sinai Governorate",8,Dahab
