Hotel_Name,Location,Rate,Governorate
Four Seasons Hotel Cairo at First Residence,"35 Giza Street, Giza, 12311",9.2,Giza
Great Pyramid Inn,"14 Abou Al Hool Al Seiahi, Giza, 12561",9.2,Giza
Pyramids Empire Inn,"Zawya Abou Muslim, Mansuriya Road, Giza, 12841, Giza Governorate",9,Giza
Giza Pyramids View Inn,"6 sphinx St,pyramids,Giza,Cairo,Egypt, Giza, 12557, giza",9,Giza
Pyramids Top Inn,"Abu Elhol Street Pyramids Area No:15, Giza, 11112, Egypt",9,Giza
Marriott Mena House Cairo,"6 Pyramids Road, Giza, 12556",8.8,Giza
Safir Hotel Cairo,"Orman, El Missaha Square, Giza, 12611",8.8,Giza
Desert Moon,"Hadayek Al Ahram 201W, Giza, 12611, Giza Governatore",8.8,Giza
Havana Hotel Cairo,"26 syria street El mohandssen area, Giza, 12411, giza",8.6,Giza
Zayed Hotel,"42 Abu El Mahasn El Shazly Square, Giza, 12411",8.6,Giza
Pyramids Valley,"25 Abo Alhool Street, Giza, 12557, Giza",8.4,Giza
Pyramid edge,"Nazlet Al Seman Al Kebli, Giza, Giza Governorate",8.4,Giza
Regency Pyramids,"Al Shams, Giza, Giza Governorate",8.4,Giza
Best View Pyramids Hotel,"13 Gamal Abd Nasser Street, Giza, 12557",8.4,Giza
Nine Pyramids View Hotel,"2st, Mohamed Hassab Salam, Mansoria, Giza, 12557, Giza Governorate",8.4,Giza
Golden Pyramids Inn,"Nazlet Al Seman, Giza, 12557, Giza Governorate",8.4,Giza
Swiss Inn Nile Hotel,"110, El Bahr El Aazem Street, Giza, 12211",8.2,Giza
Sahara Pyramids Inn,"14 Sphinx Street, Giza, 12561, Giza Governorate",8.2,Giza
Sheraton Cairo Hotel & Casino,"Galaa Square, Giza, 11511",8.2,Giza
Steigenberger Pyramids Cairo,"Alexandria Road, Pyramids, Giza",8.2,Giza
Panorama Pyramids Inn,"14 Abu el Houl Street, Giza, 12557, Giza Governorate",8,Giza
Mena Inn Pyramids,"Abou Al Hool Al Seiahi, Pyramids, Giza, 12557",7.8,Giza
St. George Hotel Cairo,"7 Radwan Ebn El-tabib, Giza, 12511, Giza Governorate",7.8,Giza
Pharaohs Hotel,"12 Lotfi Hassouna Street, Giza, 12611, Giza Governorate",7.8,Giza
Pyramids Eyes Hotel,"Kafr Nassar Next to Kia Motors, Giza, Giza Governerate",7.6,Giza
Barceló Cairo Pyramid,"229 Al Haram Road, Giza, 12111",7.6,Giza
Salma Hotel,"12 Moh. Kamel Morsi St., Giza, Giza Governorate",7.6,Giza
Pyramids Sun Capital,"9 Abou Al Hool Al Seiahi, Giza, Giza Governorate",7.6,Giza
Gawharet Al Ahram Hotel,"103, Al Ahram St, Giza, 00202",7.6,Giza
Marvel Stone Hotel,"6 Gerier street, nazlet el semman, Giza, Giza, 12511",7.6,Giza
Cairo Pyramids Hotel,"Alexandria Road, Giza",7.2,Giza
Tut Pyramids View Hotel,"Gamal Abd El-nasir St., Giza, 12557",7,Giza
Swiss Inn Hotel Cairo,"7 El Hegaz St. From Gamet El Dewal St., Giza, 12411",6.8,Giza
The Oasis Hotel Pyramids,"Cairo-Alexandria Desert Road, Giza",6.6,Giza
Sphinx Golden Gate Inn,"Building No 9 Sphinx Street, Giza, 12557, Giza Governorate",6.6,Giza
Hotel Amarante Pyramids,"29 Abou Hazem Street, Giza, 112211",6.2,Giza
Holidays Express Hotel,"2 Gamaat El Dowal El Arabia Street, Giza, 11511",6,Giza
Pyramids Park Resort Cairo,"Alexandria Desert Road-km 2.5, Giza, 12411",5.8,Giza
Pyramisa Suites Hotel Cairo,"60 Giza Street, Giza, 12311",5.6,Giza
Aracan Pyramids Hotel,"198 El-Haram Street, Cairo, Giza, 12111",5.2,Giza
Magic Golden Pyramids Inn,"El-Salam Street, Nazlet El-Saman, Giza, 12561, Giza Governorate",4,Giza
Jewel Dokki Hotel,"11 El-Batal Ahmed Abd El-Aziz, Giza, Giza Governorate",2,Giza
Pyramids View Apartments & Rooftop,"69 H Pyramids Gardens, Giza, 12345, Giza Governorate",,Giza
Abou 3Pyramids Plaza Hotel,"Al mansouria, Giza, 12511, Giza Governorate",,Giza
Pyramid stars inn,"21 Elfareda Queen Street, Giza, Giza Governorate",,Giza
Pyramids Gardens Hotel,"Street 9, Giza, Giza Governorate",,Giza
Kanzy Hotel,"9 Abou Bakr El Seddik St., Giza, 12611",,Giza
Pyramids Tower,"21 Zagluol, Giza, 12512, Giza Governorate",,Giza
Nile Island View hotel,Private host,,Giza
the kheops pyramids view hotel and resort pyramids view best view such amazing..,Private host,,Giza
Nile Island View hotel,Private host,,Giza
the kheops pyramids view hotel and resort pyramids view best view such amazing..,Private host,,Giza
Indiana Hotel Cairo,"Adel Hussein Rostom, Ad Doqi A, Ad, Giza, 12611, Giza Governorate",5.6,Giza
