Hotel_Name,Location,Rate,Governorate
Jaz Makadi Gardens,"Madinat Makadi, Safaga Road KM 32, Makadi Bay, Red Sea Governorate",10,Hurghada
Aldau Heights apartments,"Hurghada, Hurghada, Red Sea Governorate",10,Hurghada
Sherry Hotel Hurghada,"Sherry.St, Hurghada, Red Sea Governorate",10,Hurghada
Aqua Blu Resort - Families & Couples Only,"Hurghada - Safaga Road, Hurghada, Red Sea Governorate",10,Hurghada
Turtle's Inn,"Abu El Tig Marina, El Gouna, Red Sea",10,Hurghada
Serenity home hurghada,"Villa No. 213, Mubarak 6, Hurghada, 84517, Red Sea Governorate",10,Hurghada
Lilly Rooms and Studios,"Old Sheraton Road, Hurghada, 12345",10,Hurghada
Rixos Premium Magawish Suites and Villas,"Qesm Hurghada, Hurghada, 84517, Red Sea Governorate",10,Hurghada
Hurghada Comfort Apartments,"EL Hadaba,Near German Consulate, Hurghada, 84511, read sea",10,Hurghada
SeaView Turtles,"Turtles Beach Resort, Ras Gharib Road, Hurghada, 84511, Red Sea Governorate",10,Hurghada
Serenity Makadi Beach,"36 Km Makadi Bay, Makadi Bay, Red Sea",9.4,Hurghada
Jaz Makadi Oasis Club,"Madinat Makadi, Makadi Bay, 00178",9.4,Hurghada
Cleopatra Luxury Beach Resort Makadi Bay - Adults Only,"Safaga Road, Makadi Bay, 84515",9.4,Hurghada
Stella Di Mare Beach Resort & Spa - Makadi Bay,"Km 32, Hurghada Safaga Rd, Makadi Bay, 32821",9.4,Hurghada
Jaz Makadina,"Safaga Road, Makadi Resort, Makadi Bay, Red Sea Governorate",9.4,Hurghada
Jaz Makadi Oasis Resort,"Hurghada Safaga Rd, Makadi Bay",9.4,Hurghada
Sky View Suites Hotel,"Hurghada, Red Sea Governorate",9.2,Hurghada
Serenity Fun City,"36 KM, Hurghada Safaga road, Makadi Bay",9.2,Hurghada
Jaz Aquamarine Resort - All Inclusive,"South Sahl Hashish Road, Hurghada, Red Sea Governorate",9.2,Hurghada
"Fort Arabesque Resort, Spa & Villas","32 K Hurghada Safaga Road, Makadi Bay, 155",9.2,Hurghada
Steigenberger Makadi (Adults Only),"Safaga Road, 32 km, Makadi Bay, 178, Red Sea Governorate",9.2,Hurghada
Iberotel Makadi Beach,"Madinat Makadi, Safaga Road, Makadi Bay",9.2,Hurghada
SUNRISE Crystal Bay Resort - Grand Select,"KM 19 Hurghada-Safaga Road, Hurghada, Red Sea Governorate",9,Hurghada
Golden Beach Resort,"Km 12, Ahia Road, Hurghada, 84511, Red Sea Governorate",9,Hurghada
SUNRISE Royal Makadi Resort,"Makadi Bay, Makadi Bay",9,Hurghada
Sharm El Naga Resort and Diving Center,"Soma Bay, Soma Bay, 84511, Red Sea Governorate",9,Hurghada
Cook's Club El Gouna - Adults Only,"Downtown, El Gouna, Red Sea",9,Hurghada
Sentido Mamlouk Palace Resort,"20 Km Safaga Road, Hurghada",9,Hurghada
SUNRISE Garden Beach Resort,"20 Km Safaga Road, Hurghada, Red Sea, Hurghada",9,Hurghada
Ali Pasha Hotel El Gouna,"Abu Tig Marina, El Gouna, 84513, Red Sea Governorate",9,Hurghada
Beach Albatros Resort - All Inclusive - Families & Couples Only,"Safaga Road, Hurghada, Red Sea",9,Hurghada
Jaz Makadi Saraya Palms - All Inclusive,"Madinat Makadi, Safaga Road, Makadi Bay",9,Hurghada
Hurghada Marriott Beach Resort,"El Corniche Road, Hurghada, Red Sea Governorate",9,Hurghada
Jaz Makadi Star & Spa,"Madinat Makadi, Makadi Bay",9,Hurghada
SUNRISE Romance Resort - Adults Only,"The Corniche, Sahl Hasheeh, 84511, Red Sea Governorate",9,Hurghada
Jaz Casa Del Mar Beach,"Touristic Promenade, Hurghada, Red Sea Governorate",9,Hurghada
Cleopatra Luxury Resort Makadi Bay,"Safaga Road, Makadi Bay, 84515",8.8,Hurghada
Meraki Resort (Adults Only),"El Dahar - El Kornesh Road, Downtown, Hurghada, Red Sea Governorate",8.8,Hurghada
Movenpick Resort Soma Bay,"Km 49 Hurghada-Safaga Road, Soma Bay, 847115",8.8,Hurghada
Prima Life Makadi Hotel,"Makadi Bay, Makadi Bay",8.8,Hurghada
SUNRISE Holidays Resort - Adults Only,"Corniche Road - Touristic Center, Hurghada, Red Sea Governorate",8.8,Hurghada
Dawar El Omda Hotel - Adult Only,"El Kafr, El Gouna, 84513, Red Sea Governorate",8.8,Hurghada
Captain's Inn,"Abu Tig Marina, El Gouna",8.8,Hurghada
Lilly apartments,"El Hadaba El Shamalya, Hurghada, Red Sea",8.8,Hurghada
Solymar Ivory Suites,"El Kawsar District, Hurghada, Red Sea Governorate",8.6,Hurghada
Dana Beach Resort - Families & Couples Only,"Sahl Hashish Road, Hurghada, 84511",8.6,Hurghada
Aqua Vista Resort - Families & Couples Only,"Safaga Road Red Sea, Hurghada, 00000, Red Sea",8.6,Hurghada
Albatros Aqua Park Resort - All Inclusive - Families & Couples Only,"Hurghada -Safaga Road, Hurghada, Red Sea",8.6,Hurghada
Desert Rose Resort,"Safaga Road, Hurghada",8.6,Hurghada
Steigenberger Resort Ras Soma,"KM 55 Hurghada Safaga Road, Soma Bay, 84911, Red Sea Governorate",8.6,Hurghada
Baron Palace Sahl Hasheesh,"Red Sea, Sahl Hasheeh",8.6,Hurghada
The Cascades Golf Resort Spa and Thalasso,"Soma Bay, Soma Bay, 11672, Red Sea",8.6,Hurghada
Bel Air Azur Resort - Adults Only,"El Corniche Road, Hurghada, 111, Red Sea Governorate",8.6,Hurghada
Sheraton Soma Bay Resort,"Soma Bay, Soma Bay",8.6,Hurghada
Jaz Casa Del Mar Resort,"Touristic Promenade, Hurghada, Red Sea Governorate",8.6,Hurghada
Sheraton Miramar Resort El Gouna,"Red Sea, El Gouna",8.6,Hurghada
Movenpick Resort & Spa El Gouna,"El Gouna, El Gouna",8.6,Hurghada
Cordoba Suits,"Bowling Street 271, kawthar district., Hurghada, 84511, Red Sea",8.4,Hurghada
Hilton Hurghada Plaza,"Gabal El Hareem Main Street, Hurghada, Red Sea Governorate",8.4,Hurghada
Jaz Aquaviva - All Inclusive,"Hurghada, Makadi Bay",8.4,Hurghada
SENTIDO Palm Royale,"Safaga Hurghada Highway, Soma Bay",8.4,Hurghada
Continental Hotel Hurghada,"El Fareek Youssef Affifi Street, Hurghada, 84511",8.4,Hurghada
Sultan Bey Hotel,"Kafr el Gouna, El Gouna, 84513, Red Sea Governorate",8.4,Hurghada
Labranda Royal Makadi,"34 KM Hurghada Safaga Road, Makadi Bay, 111",8.2,Hurghada
Jaz Makadi Saraya Resort,"Safaga Road, Makadi Bay",8.2,Hurghada
Caribbean World Resort - All-Inclusive,"Soma Bay Resorts Road, Soma Bay, 1111",8.2,Hurghada
Tropitel Sahl Hasheesh Resort,"Sahl Hasheesh, Hurghada, Sahl Hasheeh",8.2,Hurghada
Premier Le Reve Hotel & Spa Sahl Hashesh -Adults Only,"Piece 33, Sahl Hasheeh, 84521, Red Sea Governorate",8.2,Hurghada
Alf Leila Wa Leila - Families & Couples Only,"Safaga Road, Hurghada, Red Sea Governorate",8,Hurghada
Albatros Palace Resort Hurghada - All Inclusive - Families & Couples Only,"Sahl Hashish Road, Hurghada, 00000, Red Sea",8,Hurghada
Pool View Apart At British Resort 1532,Hurghada,8,Hurghada
VESTA - Azzurra Sahl Hasheesh,"Lot 26, Sahl Hasheeh",8,Hurghada
Amarina Abu Soma Resort & Aquapark,"Km. 8 Safaga tourist center, Abu Soma., Safaga, Red Sea",8,Hurghada
Steigenberger Golf Resort El Gouna,"El Gouna, Hurghada, El Gouna, 84513, Red Sea Governorate",8,Hurghada
Sea Garden Hotel,"Sakala, Opposite to Hurghada Marina, Hurghada, Red Sea Governorate",8,Hurghada
Three Corners Sunny Beach Resort,"Hurghada, Hurghada, Red Sea Governorate",8,Hurghada
Arabella Azur Resort - All Inclusive,"Arabia Road, Hurghada, Red Sea Governorate",8,Hurghada
Masaya Hurghada,"Talateen Street, Hurghada, 84517, Red Sea Governorate",8,Hurghada
Labranda Club Makadi,"34 KM, Hurghada Safaga Road, Makadi Bay, 111, Hurghada",7.8,Hurghada
Hurghada Long Beach Resort,"Sahl Hashish Rd 68, Hurghada, 84511, Red Sea Governorate",7.8,Hurghada
Arabia Azur Resort - All Inclusive,"El Corniche Road PO 84511-Post Box 5, Hurghada, Red Sea Governorate",7.8,Hurghada
Lotus Bay Resort,"K8 Hurghada Safaga Road, Safaga",7.8,Hurghada
"Minamark Resort & Spa, for families & couples only","Sheraton Road, Sakkala Area, Hurghada, 84511",7.6,Hurghada
SUNRISE Aqua Joy Resort,"Elmamsha, Hurghada, Hurghada",7.6,Hurghada
Jungle Aqua Park - All Inclusive - Families & Couples Only,"Safaga Road, Hurghada, Red Sea",7.6,Hurghada
Albatros White Beach - Families and couples only,"El Corniche St, Villages Road, Hurghada, 84511, Red Sea Governorate",7.6,Hurghada
Zak Inn,"Sheraton Road, beside CIB Bank, Hurghada, 84511, Red Sea Governorate",7.6,Hurghada
Mercure Hurghada Hotel,"Safaga Road Km 12, Hurghada, Red Sea Governorate",7.4,Hurghada
Sindbad Club,"Village Road, Hurghada, Red Sea Governorate",7.4,Hurghada
Stella Di Mare Gardens Resort & Spa - Makadi Bay,"Km 32, Hurghada Safaga Rd, Makadi Bay",7.4,Hurghada
Hotel Panorama Bungalow Resort El Gouna,"El Gouna Red Sea, El Gouna",7.4,Hurghada
A1 Tiba Rose,"Al-Qiyadat Street, an Arab road, Hurghada, 84722",7.2,Hurghada
Albatros Beach Club - Families & Couples Only,"km 50 Safaga Road, Safaga",7.2,Hurghada
Marlin Inn Azur Resort,"Touristic Road, Hurghada, 11241, Red Sea Governorate",7.2,Hurghada
Sunny Days Palma De Mirette Resort & Spa-Families & Couples only,"El Courniche St, Hurghada, Red Sea Governorate",7.2,Hurghada
Imperial Shams Abu Soma,"Hurghada-Safaga Road 8Km, Safaga",7.2,Hurghada
Elaria,"Old Sheraton Road, Hurghada, 84511, Red Sea",7,Hurghada
Royal Beach Serviced Apartments,"El Gouna-Cairo Rd, North El Ahyaa Dist., Hurghada, 84511",7,Hurghada
Shams Safaga Resort,"Safaga Road 8Km, Safaga",7,Hurghada
Pharaoh Azur Resort,"South Sahl Hashish road-Hurghada red sea, Hurghada",7,Hurghada
Sunny Days Mirette Family Resort - Families and couples only,"El Corniche St, Hurghada, Red Sea Governorate",6.8,Hurghada
Pyramisa Sunset Pearl Apartments,"Sahl Hashish Rd, Qesm Hurghada, Sahl Hasheeh, Red Sea Governorate",6.6,Hurghada
King Tut Aqua Park Beach Resort,"Al Wafaa District, Hurghada, Red Sea Governorate",6.4,Hurghada
Labranda Club Paradisio El Gouna,"El Gouna Golf, El Gouna, 84513",6.4,Hurghada
Sphinx Aqua Park Beach Resort - All Inclusive,"Arabia Road, El Wafaa District, Hurghada, Red Sea Governorate",6.2,Hurghada
Grand Blue St Marea Hotel & Aqua Park,"Yussif Afifi Road,, Hurghada, Red Sea Governorate",6,Hurghada
ZYA Regina Resort and Aqua Park,"139 Sheraton Rd, Hurghada, Red Sea Governorate",6,Hurghada
The Boutique Hotel Hurghada Marina,"Hurghada New Marina, Hurghada, 84517, Red Sea Governorate",6,Hurghada
"Pyramisa Beach Resort, Hurghada - Sahl Hasheesh","Sahl Hasheesh Bay, Sahl Hasheeh",6,Hurghada
Sand Beach Resort,"Corniche Street, Hurghada",5.8,Hurghada
Mirage Bay Resort & Aqua Park Lilly Land,"Km. 17 Hurghada – Safaga Road, Hurghada, 84511, Red Sea",4.8,Hurghada
Chalets in Cecelia Resort,"84511, Hurghada, Red Sea Governorate",4,Hurghada
Bella Rose Nefertiti,"Ahia Road, Hurghada, 84515, Red Sea Governorate",3.4,Hurghada
Cecelia Beach Hotel,"Hurghada - Safaga Road, Hurghada, 84511, Red Sea Governorate",2,Hurghada
Nubia Aqua Beach Resort,"North Elahyaa, Hurghada, 84511, Red Sea Governorate",2,Hurghada
View Aqua Apartments & suites,"Sahl Hasheesh Road, 307, Hurghada, 84511, Red Sea Governorate",,Hurghada
Cecilia Hurghada,"red sea road behind Senzo Mall, Hurghada, Hurghada, Red Sea",,Hurghada
