Hotel_Name,Location,Rate,Governorate
Nile View Hotel,"West Bank, Al Jarf, Luxor, 85111",10,Luxor
Amenophis Hotel,"West Bank, Luxor, Egypt",10,Luxor
Djorff Palace,"Next to Banana Island, Luxor",10,Luxor
Senmut Luxory Apartments,"Ramla Street - West Bank, Luxor, Egypt",10,Luxor
El Nakhil Hotel,"Gezira El Bairat, Luxor",10,Luxor
El Phardous Hotel,"Naga Al Qarna,El Raogah area,West Bank, Luxor, 99999, Luxor Governorate",10,Luxor
Embrace Hotel,"West Bank, Luxor",9.4,Luxor
Sofitel Winter Palace Luxor,"Cornish El Nile St, Luxor, 85951",9.4,Luxor
Hilton Luxor Resort & Spa,"New Karnak, Luxor",9.4,Luxor
Cleopatra Hotel Luxor,"El Gezara West Bank, Luxor, 018018",9.4,Luxor
Amon Hotel,"Gezira El Bairat, Luxor, 12345",9.2,Luxor
Steigenberger Resort Achti Luxor,"Khaled Ben Walid St, East Bank, Luxor",9,Luxor
Happy Land Luxor,"El Kamar Street from El-madina, Luxor",9,Luxor
Jolie Ville Hotel & Spa Kings Island Luxor,"Aswan Road - Kings Island, Luxor",9,Luxor
Sonesta St George Hotel Luxor,"Corniche El Nile Street, Luxor",8.8,Luxor
Pavillon Winter Luxor,"Cornish El Nile Street, Luxor, 85951",8.8,Luxor
Steigenberger Nile Palace Luxor Hotel & Convention Center,"Khaled Ben El Walid Street, Luxor, 85111",8.6,Luxor
Al Baeirat hotel,"Luxor, West-Bank, Al Baeirat village, Luxor, Luxor",8.6,Luxor
New Memnon Hotel,"Memnon St, West Bank, Luxor",8.6,Luxor
Aracan Eatabe Luxor Hotel,"Cornish El Nile Street, Luxor, 16",8.4,Luxor
Nile Castle,"Luxor West Bank Albairat, Luxor",8.4,Luxor
Iberotel Luxor,"Khaled Ibn El Waleed Street, Luxor",8.4,Luxor
Nile Valley Hotel & Restaurant,"Gezirat el Bayrat, Luxor, 85511",8.4,Luxor
Julia Flats,Luxor,8,Luxor
Thebes Hotel Luxor,"West Bank, Luxor, Luxor",8,Luxor
El Mesala Hotel,"Al Ramla, West Bank, Luxor",7.2,Luxor
Pyramisa Hotel Luxor,"Khaled Ibn El Waild Street, Luxor",7,Luxor
Memnon Villa,"Luxor, Luxor Governorate",6,Luxor
New Memnon Hotel,"Memnon St, West Bank, Luxor",8.6,Luxor
Aracan Eatabe Luxor Hotel,"Cornish El Nile Street, Luxor, 16",8.4,Luxor
Nile Castle,"Luxor West Bank Albairat, Luxor",8.4,Luxor
Iberotel Luxor,"Khaled Ibn El Waleed Street, Luxor",8.4,Luxor
Nile Valley Hotel & Restaurant,"Gezirat el Bayrat, Luxor, 85511",8.4,Luxor
Julia Flats,Luxor,8,Luxor
Thebes Hotel Luxor,"West Bank, Luxor, Luxor",8,Luxor
El Mesala Hotel,"Al Ramla, West Bank, Luxor",7.2,Luxor
Pyramisa Hotel Luxor,"Khaled Ibn El Waild Street, Luxor",7,Luxor
Memnon Villa,"Luxor, Luxor Governorate",6,Luxor
Al Salam Camp,"West Bank - Ramla Street, Luxor",6,Luxor
Eye House,"Luxor West Bank, El Bairat, El Ramla, Luxor, Luxor Governorate",4,Luxor
Mountain View Apartments,"Luxor, Luxor Governorate",,Luxor
Nubian Eco-Village Villa,"West Bank, Luxor",,Luxor
Habu Dome Villa,"Luxor, Luxor Governorate",,Luxor
Blue House,"Ramla Street, Luxor, 85111",,Luxor
Private Villa,"Luxor, Luxor Governorate",,Luxor
Luxor Magic Villa,Luxor,,Luxor
Farida Apartments,"West Bank, Luxor, Egypt",,Luxor
Sunset View Apartments,Luxor,,Luxor
Nile Diana Luxor,"Ramla street,gezirat albairat ,west bank, Luxor, 85111, Luxor",,Luxor
MS King Tut I Nile Cruise,"Cornish El Nile, Luxor, Luxor",,Luxor
MS Movenpick Royal Lotus - Luxor Aswan,"Cornish El Nile, Luxor",,Luxor
Corniche El Nile Flat,"Luxor, Luxor",,Luxor
Al Gezera Apartments,Luxor,,Luxor
Goubli Apartments Luxor,Luxor,,Luxor
Luxor Star Apartments,"Luxor, Egypt",,Luxor
Dream house luxor,Luxor,,Luxor
Nile Dream Apartments House,"Al Bairat - Al Jorf Street, Luxor",,Luxor
Enjoy Luxor,"West Bank, Al Bairat, Luxor, 85111",,Luxor
Karnak Flats,"Karnak Street, East Bank, Luxor, 85111, Luxor Governorate",,Luxor
Arabesque Apartments,"West Bank, Luxor",,Luxor
Home Sweet Home Luxor Apartments,"Luxor, Luxor Governorate",,Luxor
Nile Residence,"Ramla Street, West Bank, Luxor, Luxor",,Luxor
Pyramids Luxor Hotel,"West Bank, Gezira Ramla Nile Street, Luxor, 55555",9.2,Luxor
MS Alexander The Great Nile Cruise,"Kornish Al Nile, East Bank, Luxor, 11811",10,Luxor
"The Oberoi Zahra, Luxury Nile Cruiser","Merotel Docking Area, Al Boghdady, Luxor, 12556",10,Luxor
MS Tarot Nile Cruise - Saturdays 7 Nights From Luxor,"El Boghdadi, Garranah Dock, Luxor",10,Luxor
Scorpion House,"West Bank, Luxor, Egypt",10,Luxor
