Hotel_Name,Location,Rate,Governorate
Adriatica Hotel,"El Galaa Street, behind Omar Effendi, Marsa Matruh",10,Marsa Matrouh
Beau Site Belle Vue Marsa Matruh,"El Corniche Street, Marsa Matruh, Egypt",10,Marsa Matrouh
Jaz Almaza Bay,"North Coast - 37 km East Mersa Matruh, Marsa Matruh",8.2,Marsa Matrouh
Carols Beau Rivage Hotel,"El-Obayed Bay, Marsa Matruh",7.6,Marsa Matrouh
El Obayed Apartments Armed Forces,Marsa Matruh,4,Marsa Matrouh
Almanara Hotel Marsa Matrouh,"Alam Al Roam, Marsa Matruh, 51511, Matrouh",,Marsa Matrouh
Molkp Towers,"Old port, Marsa Matruh",,Marsa Matrouh
Porto Matrouh Resort,Private host,,Marsa Matrouh
Porto Matrouh Resort,Private host,,Marsa Matrouh
"Jaz Crystal, Almaza Bay","Km 37 East of Mersa Matruh, Marsa Matruh",9,Marsa Matrouh
Jaz Oriental Resort,"North Coast, 37 km east of Mersa Matruh, Marsa Matruh, Matrouh Governorate",9.6,Marsa Matrouh
"Jaz Tamerina, Almaza Bay","KM 37 East of Mersa Matruh, North coast, Marsa Matruh, 00015",10,Marsa Matrouh
