Hotel_Name,Location,Rate,Governorate
Albatros Palace Sharm - Families and couples only,"Montazah Ras Nasrani, Sharm El Sheikh, 45214, South Sinai Governorate",10,Sharm El Sheikh
Sultan Apartments Hadaba Near Farsha,"Villa 91 C Umm Sid Hadaba, 46119, Sharm El Sheikh, 46119, South Sinai Governorate",10,Sharm El Sheikh
Royal Savoy Sharm El Sheikh,"Soho Square, Sharm El Sheikh, South Sinai Governorate",9.6,Sharm El Sheikh
Rehana Sharm Resort - Aqua Park & Spa - Families & Couples Only,"7th Km North Sharm Airport - Nabq Bay, Sharm El Sheikh, 1111, South Sinai Governorate",9.6,Sharm El Sheikh
"Coral Sea Imperial ""Coral Sea Sensatori""","Ras Nosrany, Sharm El Sheikh, South Sinai Governorate",9.4,Sharm El Sheikh
Four Seasons Resort Sharm EL Sheikh,"1 Four Seasons Blvd, Sharm El Sheikh, South Sinai Governorate",9.2,Sharm El Sheikh
Sentido Reef Oasis Senses Resort - All Inclusive,"Marine Sports Club Street, Sharm El Sheikh, South Sinai Governorate",9.2,Sharm El Sheikh
Stella Di Mare Beach Hotel & Spa,"Neama Bay, Sharm El Sheikh, South Sinai Governorate",9.2,Sharm El Sheikh
"Domina Coral Bay Resort, Diving , Spa & Casino","Marsa El Dekhela, Sharm El Sheikh, 46619, South Sinai Governorate",9.2,Sharm El Sheikh
Rixos Premium Seagate Sharm El Sheikh,"Nabq bay, Sharm El Sheikh, South Sinai Governorate",9.2,Sharm El Sheikh
Magic World Sharm - Club by Jaz,"El Salam Road, Nabq Bay, Sharm El Sheikh, South Sinai Governorate",9,Sharm El Sheikh
Jaz Belvedere,"El Montaza, Sharm El Sheikh, South Sinai Governorate",8.8,Sharm El Sheikh
Reef Oasis Blue Bay Resort,"El Basha Bay, Sharm El Sheikh, South Sinai Governorate",8.8,Sharm El Sheikh
SUNRISE Arabian Beach Resort,"Sharks Bay, entrance of Convention Cntr, Sharm El Sheikh, South Sinai Governorate",8.8,Sharm El Sheikh
Renaissance Sharm El Sheikh Golden View Beach Resort,"Om El Sid Hill, Sharm El Sheikh, 168, South Sinai Governorate",8.8,Sharm El Sheikh
Rixos Sharm El Sheikh - Adults Friendly,"Nabq Bay Sharm El Sheikh South Sinai, Sharm El Sheikh, South Sinai Governorate",8.8,Sharm El Sheikh
Tropitel Waves Naama Bay,"Halomy Road, Sharm El Sheikh, South Sinai Governorate",8.8,Sharm El Sheikh
Aqua Blu Resort Sharm El Sheik - Families & Couples Only,"Om El Seid 22, Sharm El Sheikh, 0000, South Sinai Governorate",8.8,Sharm El Sheikh
"Domina Coral Bay Resort, Diving , Spa & Casino","Marsa El Dekhela, Sharm El Sheikh, 46619, South Sinai Governorate",9.2,Sharm El Sheikh
