,Hotel_Name,Location,Rate,Governorate
0,Jaz Little Venice,"Km 36, Ain El Sokhna Port Suez Road, Ataqah",8.2,Ain_sukhna
1,Swiss Inn Teda Hotel & Aquapark,"3rd Plot, North-West Gulf of Suez, Ataqah, 43527",7.6,Ain_sukhna
2,Stella Di Mare Sea Club Hotel,"Km 46, Suez-Hurghada Road, Ataqah",8.6,Ain_sukhna
3,Retal View Resort El Sokhna,"Km 36 Suez-Ain Sokhna Road, Ataqah, Suez Governorate",6.0,Ain_sukhna
4,Palmera Azur Resort – Families Only,"Km 32 Suez- Ain El Sokhna Rd, Ataqah, 11241, Egypt",5.6,Ain_sukhna
5,Marina Wadi Degla Hotel,"KM35 Zafarana, Ain El Sokhna Road, Ataqah, 1111, Suez Governorate",,Ain_sukhna
6,Elite Residence Tulip & Aqua Park,"KM 39, Suez Hurghada Road, Ataqah, 43552, Suez Governorate",9.0,Ain_sukhna
7,Amigo Elsokhna Hotel,"Suez City, Ataqah, 43511, Suez Governorate",8.0,Ain_sukhna
8,Four Seasons Hotel Alexandria at San Stefano,"399 El Geish Road, Alexandria, 21599",9.6,Alexandria
9,TOLIP North Coast Hotel,"80 KM Marasa Matrouh Road, Al-Hammam",9.4,Alexandria
10,Crystal Inn by Almasa - El Alamein,"Marina El Alamein, El Alamein, Matrouh Governorate",9.0,Alexandria
11,Steigenberger Cecil Alexandria Hotel,"16, Saad Zagloul Square, Raml Station, Alexandria, 11015",9.0,Alexandria
12,Panacea Hotel Borg El Arab,"22 KM Borg El Arab Road, King Mariout, Borg el Arab, 21411",8.8,Alexandria
13,Hilton Alexandria Green Plaza,"14th of May Bridge Road, Alexandria, 21615",8.8,Alexandria
14,SUNRISE Alex Avenue Hotel,"Cornish Road, Roushdy, Alexandria, 99998",8.0,Alexandria
15,Tolip Family Club Borg El Arab,"Army Stadium, Gate 8, Al-'Amriyah, 21934",8.0,Alexandria
16,Hilton Alexandria Corniche,"544 El Geish Road, Alexandria, 21611, Beheira",7.8,Alexandria
17,Helnan Palestine Hotel,"Montaza Palace Royal Gardens, Alexandria",7.8,Alexandria
18,Alexander the Great Hotel - Alexotel,"5 Oskofia street, Alexandria, 99999",7.6,Alexandria
19,Paradise Inn Le Metropole Hotel,"52. Saad Zaghloul St., Alexandria, 21111",7.4,Alexandria
20,Paradise Inn Beach Resort,"El-Shaheed youssef El-Sebaey, Alexandria",7.4,Alexandria
21,Borg El Arab Beach Hotel,"Km 52, Alexandria Matrouh Road, Borg el Arab, 23121, Alexandria",7.4,Alexandria
22,Tolip Alexandria,"252, Moustafa Kamel, Corniche Road, Alexandria",7.4,Alexandria
23,Adham Compound,"King Mariout - Borg El Arab High Way, Al-'Amriyah, 55",7.2,Alexandria
24,Aura Resort Sidi Abdel Rahman - El Alamein,"Km 138 Alexandria-Matrouh Costal Road, El Alamein, Marsa Matrouh Governorate",7.2,Alexandria
25,San Giovanni Stanly Hotel & Restaurant,"205 El Gueish Avenue, Alexandria, Egypt",7.0,Alexandria
26,Plaza Hotel Alexandria,"El Gueish Avenue 394, Alexandria, 21532",7.0,Alexandria
27,Windsor Palace Hotel,"17, El Shohada St., El Ramle Station, Alexandria, 21111",6.8,Alexandria
28,Cherry Maryski Hotel,"No 9, El Borsa El Kadema Street, Alexandria, 21519",6.6,Alexandria
29,The Grand Plaza Hotel Smouha,"14th May Avenue, Smouha, Alexandria",6.6,Alexandria
30,Sheraton Montazah Hotel,"Corniche Road, Alexandria",6.6,Alexandria
31,Aifu Resort,"Sheraton Montazah Towers, Cournish Road, Alexandria",6.2,Alexandria
32,Amoun Hotel Alexandria,"32 El Nasr St., El Manshia, Alexandria, 9999, Alexandria Governorate",5.6,Alexandria
33,Royal NJ Hotel,"Central Zone Block 5 No. 1, New Burj al-'Arab City, 21934, Alexandria",5.6,Alexandria
34,Sea View Hotel Elagamy,"Elagamy Elbetash End of Elhanfya Street, Alexandria, 21928",4.0,Alexandria
35,Green Leaves Aqua Park Beach Resort North Coast,"75 KM Alexandria Matrouh Road, Al-Hammam, 00000",4.0,Alexandria
36,Siesta Hotel,"Front of Marina Gate 5-Alex.Matrouh Rd, Al-Hammam, 51512, Matrouh Governorate",,Alexandria
37,Siesta Hotel,"Front of Marina Gate 5-Alex.Matrouh Rd, Al-Hammam, 51512, Matrouh Governorate",,Alexandria
38,Romance Alexandria Hotel,"303 Tareek El Gueish Saba Pasha, Alexandria",8.0,Alexandria
39,Rixos Alamein,"North Coast Matruh Road, Ad-Dab'ah",9.0,Alexandria
40,Jewel San Stefano Hotel,"409 El Gaish Road, Alexandria",8.0,Alexandria
41,"Radisson Blu Hotel, Alexandria","Mehwar El Taameer, Alex West, Al-'Amriyah, 21599",8.4,Alexandria
42,Golf Porto Marina,"Km 110 Alexandria, Marsa Matrouh Road, El Alamein",10.0,Alexandria
43,Kato Dool Nubian House,"Gharb Sohail Aswan, Aswan",9.2,Aswan
44,Villa Misk,"Pateniol, Khazan Sharq, Aswan, 81111, Aswan",9.0,Aswan
45,Movenpick Resort Aswan,"Elephantine Island, Aswan, 81111",8.6,Aswan
46,Tolip Aswan Hotel,"Cornich El Nile, Aswan, 294",8.6,Aswan
